file,offset,capacity,mode,text
21/S2041.DAT,0x48440,16,e2,"승무원: 무엇을 알고 싶으십니까?"
21/S2041.DAT,0x48488,45,choice,"강해지는 방법|전투 요령|그만둘래"
21/S2041.DAT,0x484FE,35,e2,"승무원: 어느 나라든 언제든 마물과 싸울 수 있는 장소가 있습니다."
21/S2041.DAT,0x48554,31,e2,"승무원: 그곳에서 여러 번 싸우면 계속 강해질 수 있습니다."
21/S2041.DAT,0x485A6,65,e2,"승무원: 그곳의 마물은 이야기가 진행되어도 강해지지 않으니, 수련할 사람의 수준에 맞춰 장소를 고르세요."
21/S2041.DAT,0x4861A,44,e2,"승무원: 이런 장소는 게임이 끝날 때까지 모두 열 곳 이상 생깁니다."
21/S2041.DAT,0x48684,46,e2,"승무원: 자기 차례에 두 버튼을 동시에 누르면 자유 커서로 바뀝니다."
21/S2041.DAT,0x486E4,47,e2,"승무원: 자유 커서로 마물의 위치와 지형을 살핀 뒤 작전을 세워 보세요."
21/S2041.DAT,0x48746,65,e2,"승무원: 분열하는 마물은 체력이 절반으로 줄지만, 쓰러뜨렸을 때 얻는 경험치는 같습니다."
21/S2041.DAT,0x487BA,25,e2,"승무원: 이 점을 잘 활용해 보세요."
21/S2041.DAT,0x4880A,43,e2,"승무원: 그럼 밀마나로 출발하겠습니다. 자신 있으십니까?"
31/S3012.DAT,0x47F50,39,e2,"초핀: 국왕의 명을 마치시면 곧 출발하겠습니다. 힘내세요."
31/S3012.DAT,0x47FAC,11,e2,"아크: ...알았어."
31/S3012.DAT,0x47FF0,53,hybrid_choice,"초핀: 제가 도와드릴 일이 더 있을까요?|괜찮아|하나만 더"
31/S3012.DAT,0x48064,19,e2,"초핀: 그럼 조심히 다녀오세요."
31/S3012.DAT,0x480D4,17,e2,"초핀: 무엇을 알고 싶으세요?"
31/S3012.DAT,0x4811E,45,choice,"강해지는 방법|전투 요령|그만둘래"
31/S3012.DAT,0x48194,36,e2,"초핀: 어느 나라든 언제든 마물과 싸울 수 있는 장소가 있습니다."
31/S3012.DAT,0x481EA,32,e2,"초핀: 그곳에서 여러 번 싸우면 계속 강해질 수 있습니다."
31/S3012.DAT,0x4823C,66,e2,"초핀: 그곳의 마물은 이야기가 진행되어도 강해지지 않으니, 수련할 사람의 수준에 맞춰 장소를 고르세요."
31/S3012.DAT,0x482B0,45,e2,"초핀: 이런 장소는 게임이 끝날 때까지 모두 열 곳 이상 생깁니다."
31/S3012.DAT,0x4831C,47,e2,"초핀: 자기 차례에 두 버튼을 동시에 누르면 자유 커서로 바뀝니다."
31/S3012.DAT,0x4837E,48,e2,"초핀: 자유 커서로 마물의 위치와 지형을 살핀 뒤 작전을 세워 보세요."
31/S3012.DAT,0x483E0,66,e2,"초핀: 분열하는 마물은 체력이 절반으로 줄지만, 쓰러뜨렸을 때 얻는 경험치는 같습니다."
31/S3012.DAT,0x48454,26,e2,"초핀: 이 점을 잘 활용해 보세요."
