row_number,source file,offset,classification,target_korean,raw_length,raw_sha256,raw_hex,review_status
424,21/S2045.DAT,0x491CE,빌드대기,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...,42,1FAE813547BC6555B9D4DE1A499B958014955AA5904465A5842A1D2C93D4D316,6C 69 72 34 25 E6 01 2E 2E 30 28 24 3F 22 42 65 DB D8 2A 87 23 86 39 27 2B 37 47 5C 31 34 77 31 4E 53 35 49 23 DF 61 DF 61 37,
428,21/S2045.DAT,0x4935A,빌드대기,초핀: 소환수는 전부 여섯까지라고 들었습니다. 그중엔 찾기 어려운 것도 있으니 여기저기 찾아 보십시오.,68,61391AD4E74235282B302A4AF461AF725CF2E808C776A0E338F05643B7F6DB12,6C 69 72 34 25 E6 01 DD 78 DD 7B DE 6E 28 DD 08 DD 25 30 17 27 30 1D 22 36 D3 1B 21 3B 39 27 2B 37 DD 64 23 28 A0 45 20 39 23 3E 1B 38 1C 38 1B 22 3D 26 1D 1C 30 3F 4B 2E 4B DE 07 1E 21 6D 21 70 3A 1B 37,
437,21/S2045.DAT,0x49744,빌드대기,초핀: 경험치를 두 배로 주는 「비단 띠」는 누구나 착용할 수 있습니다.,67,53783AFE5BE71A4765E47C939BA539EA2A6C7F506206B5A5DF972BC6FE057728,6C 69 72 34 25 E6 01 63 93 30 1C DD DE DE 75 DD D2 2A DF 17 23 1D 22 42 4E DD 60 77 6B 31 2A 3F 22 3D 26 30 2B 37 DE 26 AE 28 5B 44 DD 4F 1C 3B 99 5A 37 E6 01 DD D3 30 38 DD 33 46 22 3D 26 30 2B 4C 37,
466,22/S2046.DAT,0x486DC,빌드대기,"이분은 클라프 왕국의 왕자, 톤 가바 헤모촌 님이시다!!",34,A13F62D35E7D334629B03A4996C2DDEF3BD922903C024F0FB9AAE17C7BFDBF04,2E 1C 3B C4 28 1D 24 4E 57 31 A6 5D 5E 5D 96 95 34 2C DD 02 AF 2C DD 3B 5F 6C 69 34 CB 1D 22 6A 02 02,
467,22/S2046.DAT,0x48730,빌드대기,병사: 클라프 왕국? 왕자? 당신이??,23,D2D35AB3955AC5993FE43F0184CF3AB16E7B1D1E0815D17BD749BBA4DB1279AD,66 68 25 E6 01 4E 57 31 A6 5D 5E 3C 5D 96 3C E6 01 3F 2D 1F 2A 3C 3C,
469,22/S2046.DAT,0x487C0,빌드대기,"병사: 하아, 하지만 클라프 왕국 같은 나라는 들어 본 적도...",34,8E94BEB8923AFC29D32692ED855E65872B2C3DEFCDC45BBAAEC1A7A94B5A92EF,66 68 25 E6 01 28 3F 24 1E 20 1E 4E 57 31 A6 5D 5E 1D 54 36 1B 26 5E 28 D3 1B 1F 7A 38 DF 61 DF 61 37,
470,22/S2046.DAT,0x4881A,빌드대기,"무슨 소리냐!! 남쪽 바다에 떠 있는 이 세상의 낙원, 클라프 섬을 모른단 말이냐, 이놈!",47,E598FD66C3F2BEC6F9EE5DE39BB50D17902C8DB6CD1F3567AD2CA4599CAB247A,CA A1 29 20 38 2D 02 02 1D 2D 3D 26 23 26 20 CA 2E 1C CE 1C DD DF 46 2D 24 4E 57 31 A6 DE 05 2F C6 33 2D 21 20 24 3B DD 4F 1E 02 E4 3D E4 3D,
580,22/S2055.DAT,0x47C88,빌드대기,잘 모르겠습니다. 정령은 아버지와 사람의 미래를 건 약속을 했다고 말했습니다.,47,3F288FABBF9A8CE5FD549FCA4047C97134FA92B37C7DDB93B6E4B39A98707B83,43 20 39 27 59 2D 37 E4 3D E6 01 4D 4F 28 24 B7 3A 2D 36 24 52 1C DD 93 9A 2F E6 01 20 49 1F DD 7E DD 87 2F 1E 1F 36 91 29 21 1B 27 1E 1F 37,
706,31/S3011.DAT,0x47FEE,빌드대기,병사: 스메리아국에서 온 사절을 환영합니다. 군 본부까지 안내하겠습니다.,42,5F6B8CE86234373C843CA9469A47D1C9B3A7098A9EBF4A49D058F863AF0B0862,66 68 25 E6 01 47 78 6B 42 5E 20 33 1C DD 33 7E 2F 20 2D 9C 1B 1E 27 2B 37 BA 92 DD 25 27 30 79 DD E3 DD 81 1B 1F 1E 27 2B 37,
715,31/S3012.DAT,0x47FF0,선택지,초핀: 제가 도와드릴 일이 있습니까?|없어|좀 물어보고 싶어,53,0E702236AACEADC8D13BC9370A85157620974DE03F4EEE1EB4F7A7142FC52E3F,6C 69 72 34 25 E6 01 6E 20 85 30 3B 61 23 1D 32 22 7A 28 3F 39 27 2B 20 3C E6 01 E5 03 DD 35 45 23 1D 1B 37 E6 01 E5 03 4B 73 29 36 DD 6A 46 21 DD 05 1E 1B 37,
718,31/S3012.DAT,0x4811E,선택지,|어떻게 하면 강해져?|무슨 싸움 요령이 있어?|그만,45,5AA1BD691AC889A754228DE4F9A2604CFA7D0765B2C9E645EB440AABA90C72A2,E5 04 54 26 2B 32 58 DD 19 3E 1D 32 22 1C 3C E6 01 E5 04 6E 20 63 1B 1C D1 DF 01 28 3F 22 1C 3C E6 01 E5 04 40 29 75 39 24 1B 1B 40 37,
723,31/S3012.DAT,0x4831C,빌드대기,초핀: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.,47,B865FAE070B2AC6D58CC9A192EED8C75F6EDD359BDBB7D4A74C963CF025C0F22,6C 69 72 34 25 E6 01 A4 B2 1C 62 31 34 1C CF 23 24 DF 60 DF 03 DD A1 62 34 2F DD 82 CF 23 3B 2B 36 A6 6B 31 BC 31 DE 4D 53 23 1D 39 27 2B 37,
734,31/S3013.DAT,0x47FF6,선택지,|물론이야|조금 더 있을래|더 알려 줘,47,BFDCCDECDFAC8D100515C5DC3D78271A8FDEC1E04158AB85D0034660A554F3FF,E5 04 38 4B 55 2D 02 E6 01 E5 04 38 26 4B 73 29 36 1B 1F 1B 1D DF 61 DF 61 37 E6 01 E5 04 1B 55 1B 55 DD 6A 46 21 DD 24 1E 1B 2D 35 49 54 37,
742,31/S3013.DAT,0x483C6,빌드대기,승무원: 프리 커서로 맵을 확인하고 계십니까? 자신의 턴에 LR 동시에 누르시면 됩니다.,55,E81B93CDCAB5B63E15317EF326AC1C1D4F87347FD479B9F17392892959B96F53,DD 43 8D 25 E6 01 A6 6B 31 BC 31 DE 4D 53 30 64 82 DD 55 2F 6C DF 5D 82 4E E6 01 1E 21 27 2B 20 3C E6 01 A4 B2 1C 62 31 34 30 DF 60 DF 03 DD 82 CF 3B 1E 30 2B 3D 37,
771,31/S3014.DAT,0x46FB4,빌드대기,"초핀: 아이템, 장신구, 특수 능력을 고를 때 L이나 R을 누르면 효과를 볼 수 있습니다.",72,E01FEEAB02854B59D05DC4A94DDFE7EB436D17307E25234F245518B2DC01DF54,6C 69 72 34 25 E6 01 42 65 DB D8 2C 42 4E DD 60 77 6B 31 2C DE 96 1E DE 20 DD 80 61 28 24 BC 31 DE 4D 53 30 DE 0A 2D 30 1B 22 CF 23 DF 60 20 DF 03 DD A1 62 34 2F 3B 2B 2E 36 30 24 41 1C DD C1 DD 1F 2F A0 32 27 2B 37,
774,31/S3014.DAT,0x47108,빌드대기,초핀: 아이템 던지기는 반격당하지 않으므로 강한 적에게도 안전한 공격 수단입니다.,45,FA173EEECA353BF8ECA4D8F2A3EC1961140D3E0019959E48A7283A5A1D0DDAB9,6C 69 72 34 25 E6 01 42 65 DB D8 DE 04 9C 28 DE 02 B1 3A 32 1D 1B 1C 30 E6 01 DD 19 1B BD 30 38 DD 38 DD 08 1D D0 B1 87 DE 61 30 2B 37,
777,31/S3014.DAT,0x47232,빌드대기,초핀: 반대로 자신이 공격받을 때는 되도록 정면을 향하게 하면 적에게 반격하기 쉬워집니다.,61,FFD66BB047CA2821F79383C1D2DCCF369EBE671DE1E01D2C3C32113832DFE1BE,6C 69 72 34 25 E6 01 DE F3 23 24 A4 B2 2A D0 B1 3A 32 22 CF 23 1D 22 DD 35 3E 24 E6 01 C7 DE 8C 20 33 23 1D 22 3D 26 23 1E B5 49 22 36 E6 01 BD 23 DE 02 B1 1E 40 2B 3E 1D 39 27 2B 37,
778,31/S3014.DAT,0x472A2,빌드대기,초핀: 특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.,54,8EF808A5D461968BFC0EC3DC489B7E05B9D15D5C8F202CD87ECDFE7481EC6283,6C 69 72 34 25 E6 01 DE 96 1E DE 20 D0 B1 38 42 65 DB D8 2F DE 04 9C 22 1C 36 DD 82 4A 3E DE D4 DD 9A 23 BD 1C DE 02 B1 2F DD 68 49 1D 1B D0 B1 87 DE 61 30 2B 37,
779,31/S3014.DAT,0x47324,빌드대기,초핀: 무엇을 알고 싶으십니까?,17,387DA0CA31D453022BD6BA20B1EDEB4FA3F5A429022ADF266B8153FE23DA0E87,6C 69 72 34 25 E6 01 6E 2A C6 39 1F 1B 30 2B 20 3C,
780,31/S3014.DAT,0x4736E,선택지,|전투 요령 2|유용한 정보|그만,37,B1EE50D8D071DB186CE4C84C7DE300AE1458D924E68436B871F9E93B51DC23B7,E5 03 AF 5C 53 1C DD 11 DD A7 01 41 1C 13 E6 01 E5 03 DE A6 3D 39 1D B0 E6 01 E5 03 40 29 75 39 24 1B 1B 40 37,
782,31/S3014.DAT,0x4745A,빌드대기,초핀: 이쪽의 공격이 몬스터에게 통하지 않는 것은 레벨 차이 외에 상성이 나쁜 경우가 있기 때문입니다.,60,D8697F35C74D20BC3FE78DA0F5A8EBE8AC7BFC3473EB1D84ECC189E490EAF8AC,6C 69 72 34 25 E6 01 2E 4B 33 1C D0 B1 2A 5F 34 47 62 31 23 44 20 1D 1B 1C 28 6F DD B4 53 1C DE 1D 1B DE FE DD 6B 23 24 DE 09 1E 73 26 2A DD 6C 1B E6 01 89 DD AC 2A 3F 39 27 2B 37,
784,31/S3014.DAT,0x4752A,빌드대기,초핀: 그 밖에 날아다니는 몬스터에게는 바람 마법이 잘 통하는 경우도 있습니다.,47,76E7C17B997D4184221F9D760AB61CDD5E7E54D229F47E53D77496C657841EAA,6C 69 72 34 25 E6 01 DE 08 23 28 24 DD 72 2D 30 1B 22 5F 34 47 62 31 23 28 24 E6 01 C1 1C DD 1B DD 51 2A 3D 3E 44 3E 36 20 38 3F 39 27 2B 37,
785,31/S3014.DAT,0x4758C,빌드대기,초핀: 싸움은 머리를 쓰지 않으면 안 됩니다. 힘만으로는 안 되는 법입니다.,40,11E5DAF1746AD5F90CB4046EB06368D2EC144008437D0046B56F5D5DA2C61028,6C 69 72 34 25 E6 01 63 1B 28 DE 5C 2F DD 33 43 1D 44 48 1B 49 27 59 2D 37 E6 01 61 35 49 4A 48 35 51 1D 2D 30 2B 3D 37,
787,31/S3014.DAT,0x4762E,B검수필요,초핀: 강한 상대와 싸울수록 더 많은 경험을 쌓을 수 있습니다.,40,7C9F7F8E94729D663DDB3A0015143212BD169BA2681C4D02EC173AAC7D9FA32F,6C 69 72 34 25 E6 01 DD 19 1B DE 09 87 2F DE 0A 2D 30 63 26 36 24 41 32 35 49 DD D4 3E 1C DD DE DE 75 2F 45 51 27 2B 37,needs_human_review
791,31/S3014.DAT,0x47790,빌드대기,...,7,E0633B40BB528567099E0BC9F38BDC8F129001A062A9187C161EC014B545AD2C,DF 61 DF 61 DF 61 37,
792,31/S3014.DAT,0x477D6,B검수필요,초핀: 동료가 늘어나면 전투에서 맡은 역할에 따라 레벨 차이도 커집니다.,43,7B4D9F1D4F2D513BC93642C5BF9E379D65B84645A88B9C52AB8EE9519E69F1AE,6C 69 72 34 25 E6 01 DD 99 88 2A 97 46 21 3E 22 36 24 63 93 30 1C B6 43 39 23 E6 01 3D 39 6F DD B4 53 23 3A 2A 56 21 44 27 2B 37,needs_human_review
794,31/S3014.DAT,0x4788A,B검수필요,초핀: 캐릭터들의 방어력이 비슷해지도록 맞춰 보는 건 어떨까요?,48,B6A6CC4263054C261A61A78CA0712E22CD7431EB12AD9A825BD2BB3E22DB9B41,6C 69 72 34 25 E6 01 DD 4E D6 57 4E 62 31 1C DD A6 DD AD DD D2 2A DE 44 1B DD D2 23 1D 22 3D 26 23 A9 2F 45 49 21 6D 21 28 54 26 30 1E 73 26 3C,needs_human_review
796,31/S3014.DAT,0x4794A,B검수필요,"낙오자라니, 누구를 말하는 게냐?",16,F855531016F6FD63C6B10BF0ABD6B3E174629CC1CB0E318E31B954F70B169C52,DD A4 4B 2E D2 32 36 28 DD D3 1C 2E 36 4A 48 3C,needs_human_review
797,31/S3014.DAT,0x47996,선택지,|아라라토스 유적|미르마나의 이후|라마다 수행|그만,58,7F7B7AFB2167DEEE0053DA7F9D0099DCA7D9FAC14B548065A00E9DCFCD2D3AB5,E5 03 42 57 57 5C 47 1C DD 8F DD 9D 67 34 7F 69 34 E6 01 E5 03 DD 3A 53 64 31 7C 1C 41 1C C3 E6 01 E5 03 57 64 67 DD 9E 30 1C DD BF 74 E6 01 E5 03 40 29 75 39 24 1B 1B 40 37,
799,31/S3014.DAT,0x47A78,B검수필요,초핀: 그곳에서만 얻을 수 있고 몬스터가 지키는 장신구도 있다고 들었습니다.,52,398DEADCC52FBB4888F0CA43D097C2642652F88DC061B6EADD8E9C36C1CC38DF,6C 69 72 34 25 E6 01 1D 20 23 28 24 5F 34 47 62 31 23 DD 1E 33 32 1F 24 E6 01 3F 41 2E 23 1E 20 1D 1B 42 4E DD 60 77 6B 31 38 3F 22 36 E6 01 D3 44 27 2B 37,needs_human_review
800,31/S3014.DAT,0x47ADE,B검수필요,초핀: 실력도 시험할 겸 가끔 가 보는 건 어떨까요?,34,5E16689AB02354966EB3949FEE7DAB8EFD4E177062293F692CFDB34A94D55CE9,6C 69 72 34 25 E6 01 61 DE 38 1E 38 20 4C 21 24 CF 23 28 74 29 21 6D 22 1C 38 E6 01 3D 1B 1C 30 28 3C,needs_human_review
806,31/S3014.DAT,0x47CD6,B검수필요,초핀: 미르마나에는 배틀 에어리어가 세 곳 있습니다. 가끔 찾아가 이야기를 들어 보세요.,58,2167657B8C7F8D15CDA5425ED1EA3757A74B37304F7424039B29B2DBBCA01F85,6C 69 72 34 25 E6 01 DD 3A 53 64 31 7C 23 28 24 14 BC C2 AF 5C 53 DD 23 6B 42 2A E6 01 3F 22 7A 30 2B 1E 24 CF 23 28 74 29 21 24 E6 01 B0 2F D3 3E 1C 38 3D 1B 30 1E 73 26 37,needs_human_review
807,31/S3014.DAT,0x47D42,B검수필요,초핀: 찾아가면 만능약을 받을 수 있다고 합니다.,27,E20FFB821799604572EF78544915D6EFD36105736C6F03932D6ED4B072C2A4FB,6C 69 72 34 25 E6 01 74 3E 36 DF 0B DD 80 DD 58 2F 38 33 46 22 3D 26 30 2B 3D 37,needs_human_review
808,31/S3014.DAT,0x47D92,B검수필요,참 친절하구나.,8,EF3208AE79755055282651C4ABA4D63F55FD2C5A8AAAEEC0CA69793B19D1D50C,40 3A 1E DE B6 1C 26 37,needs_human_review
812,31/S3014.DAT,0x47EE4,B검수필요,초핀: 어느 것에 관해 말씀드릴까요?,22,FD833A627226207FF9012FC65AA646AE25CFD3C3F7BD6F0E08F7B89F48872728,6C 69 72 34 25 E6 01 54 32 23 45 1B 21 3B B0 1E 1E 27 1E 73 26 3C,needs_human_review
813,31/S3014.DAT,0x47F3C,선택지,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지,51,1F5BACB51D7DE242B4C95523B75D7147F57D01C7CE921209A945541C66CDE889,E5 03 47 5C 31 34 77 31 4E 53 E6 01 E5 03 6B 34 80 1C DE B1 DE CA DE D5 DD 97 E6 01 E5 03 DD 78 DD 7B DE 6E 23 45 1B 21 E6 01 E5 03 DD 2A 1C DD F7 31 7F,
814,31/S3014.DAT,0x47FB8,선택지,|포코의 악기|투기장|키토우올|그만,42,35F26F64A7FD83289D466AF3C0539097937D217B100509F03230C18002316FF0,E5 03 D7 D1 1C DD DF DE 7A E6 01 E5 03 93 DD 4C 89 E6 01 E5 03 DD B5 31 5C 71 DE B4 31 53 E6 01 E5 03 40 29 75 39 1B 1B 40 37,
815,31/S3014.DAT,0x4802A,선택지,|스톤 서클|링 위치 설정|소환수|다음 페이지,47,ACA249B20629F394DAD814883CD5E1AE68ED6932BBF3FEB0B79C45F9D01D29C6,E5 03 47 5C 31 34 77 31 4E 53 E6 01 E5 03 6B 34 80 1C DE B1 DE CA DE D5 DD 97 E6 01 E5 03 DD 78 DD 7B DE 6E E6 01 E5 03 DD 2A 1C DD F7 31 7F,
816,31/S3014.DAT,0x480A2,선택지,|포코의 악기|투기장|키토우올|다음 페이지,41,C5A6454CB1226CA398B021539B18FDC7CCC0E3C16FAEEC90EED2BF257FB12D9E,E5 03 D7 D1 1C DD DF DE 7A E6 01 E5 03 93 DD 4C 89 E6 01 E5 03 DD B5 31 5C 71 DE B4 31 53 E6 01 E5 03 DD 2A 1C DD F7 31 7F,
817,31/S3014.DAT,0x48114,선택지,|라마다사의 수행|로맨싱 스톤|장신구 비단 띠|그만,56,DB9FC7069B927DFED84DCD923A7D168FACF031D0EDB23DE8B62E332B35B527D2,E5 03 57 64 67 DD 9E 1C DD BF 74 E6 01 E5 03 A2 64 34 60 34 80 47 5C 31 34 E6 01 E5 03 42 4E DD 60 77 6B 31 5B 44 DD 4F 1C 3B 99 5A E6 01 E5 03 40 29 75 39 1B 1B 40 37,
