glyph index,character,how it was established
82,ル,"restored manual atlas mapping; repaired source occurrences=860, conflicts=0"
83,ど,"restored manual atlas mapping; repaired source occurrences=397, conflicts=0"
84,ろ,"restored manual atlas mapping; repaired source occurrences=348, conflicts=0"
85,出,"restored exact atlas mapping; repaired source occurrences=305, conflicts=0"
86,ラ,"restored manual atlas mapping; repaired source occurrences=216, conflicts=0"
87,ば,"restored manual atlas mapping; repaired source occurrences=207, conflicts=0"
88,せ,"restored manual atlas mapping; repaired source occurrences=176, conflicts=0"
89,,original COMM.IMG audit: Japanese/non-ASCII; ASCII rule rejected
90,,original COMM.IMG audit: Japanese/non-ASCII; ASCII rule rejected
91,ト,"restored exact atlas mapping; repaired source occurrences=227, conflicts=0"
92,王,"restored exact atlas mapping; repaired source occurrences=173, conflicts=0"
93,国,"restored exact atlas mapping; repaired source occurrences=160, conflicts=0"
94,モ,"restored manual atlas mapping; repaired source occurrences=173, conflicts=0"
95,シ,anchor: appears in a completely decoded corpus string
96,力,anchor: appears in a completely decoded corpus string
97,タ,anchor: appears in a completely decoded corpus string
98,戦,anchor: appears in a completely decoded corpus string
99,マ,anchor: appears in a completely decoded corpus string
100,イ,corpus: independent contexts ヨッパライ / スパイ
101,兵,anchor: appears in a completely decoded corpus string
102,ダ,anchor: appears in a completely decoded corpus string
103,士,anchor: appears in a completely decoded corpus string
104,ョ,anchor: appears in a completely decoded corpus string
105,ぞ,anchor: appears in a completely decoded corpus string
106,リ,anchor: appears in a completely decoded corpus string
107,チ,anchor: appears in a completely decoded corpus string
108,み,anchor: appears in a completely decoded corpus string
109,何,anchor: appears in a completely decoded corpus string
110,レ,corpus: independent contexts パレンシア城 / パレンシアの都
111,下,anchor: appears in a completely decoded corpus string
112,ウ,anchor: appears in a completely decoded corpus string
113,ピ,anchor: appears in a completely decoded corpus string
114,ょ,anchor: appears in a completely decoded corpus string
115,行,anchor: appears in a completely decoded corpus string
116,っ,anchor: appears in a completely decoded corpus string
117,発,anchor: appears in a completely decoded corpus string
118,サ,anchor: appears in a completely decoded corpus string
119,メ,anchor: appears in a completely decoded corpus string
120,ご,anchor: appears in a completely decoded corpus string
121,こ,anchor: appears in a completely decoded corpus string
122,会,anchor: appears in a completely decoded corpus string
123,ナ,anchor: appears in a completely decoded corpus string
124,ひ,anchor: appears in a completely decoded corpus string
125,者,anchor: appears in a completely decoded corpus string
126,ジ,anchor: appears in a completely decoded corpus string
127,グ,corpus: independent contexts ヤグン将軍 / ヤグンつて将軍
128,デ,anchor: appears in a completely decoded corpus string
129,ッ,anchor: appears in a completely decoded corpus string
130,達,anchor: appears in a completely decoded corpus string
131,僧,anchor: appears in a completely decoded corpus string
132,私,anchor: appears in a completely decoded corpus string
133,入,anchor: appears in a completely decoded corpus string
134,手,anchor: appears in a completely decoded corpus string
135,聞,anchor: appears in a completely decoded corpus string
136,場,anchor: appears in a completely decoded corpus string
137,へ,anchor: appears in a completely decoded corpus string
138,臣,anchor: appears in a completely decoded corpus string
139,す,anchor: appears in a completely decoded corpus string
140,員,anchor: appears in a completely decoded corpus string
141,一,anchor: appears in a completely decoded corpus string
142,オ,anchor: appears in a completely decoded corpus string
143,地,anchor: appears in a completely decoded corpus string
144,言,anchor: appears in a completely decoded corpus string
145,本,anchor: appears in a completely decoded corpus string
146,闘,anchor: appears in a completely decoded corpus string
147,石,anchor: appears in a completely decoded corpus string
148,ト,anchor: appears in a completely decoded corpus string
149,子,anchor: appears in a completely decoded corpus string
150,ふ,anchor: appears in a completely decoded corpus string
151,待,anchor: appears in a completely decoded corpus string
152,び,anchor: appears in a completely decoded corpus string
153,来,anchor: appears in a completely decoded corpus string
154,山,anchor: appears in a completely decoded corpus string
155,げ,anchor: appears in a completely decoded corpus string
156,決,anchor: appears in a completely decoded corpus string
157,回,anchor: appears in a completely decoded corpus string
158,思,anchor: appears in a completely decoded corpus string
159,見,anchor: appears in a completely decoded corpus string
160,っ,anchor: appears in a completely decoded corpus string
161,ロ,anchor: appears in a completely decoded corpus string
162,パ,anchor: appears in a completely decoded corpus string
163,自,anchor: appears in a completely decoded corpus string
164,参,anchor: appears in a completely decoded corpus string
165,フ,anchor: appears in a completely decoded corpus string
166,ぜ,anchor: appears in a completely decoded corpus string
167,老,anchor: appears in a completely decoded corpus string
168,気,anchor: appears in a completely decoded corpus string
169,加,anchor: appears in a completely decoded corpus string
170,ュ,anchor: appears in a completely decoded corpus string
171,目,anchor: appears in a completely decoded corpus string
172,俺,anchor: appears in a completely decoded corpus string
173,前,anchor: appears in a completely decoded corpus string
174,バ,anchor: appears in a completely decoded corpus string
175,話,anchor: appears in a completely decoded corpus string
176,撃,anchor: appears in a completely decoded corpus string
177,分,anchor: appears in a completely decoded corpus string
178,男,anchor: appears in a completely decoded corpus string
179,ベ,anchor: appears in a completely decoded corpus string
180,む,anchor: appears in a completely decoded corpus string
181,役,anchor: appears in a completely decoded corpus string
182,父,anchor: appears in a completely decoded corpus string
183,水,anchor: appears in a completely decoded corpus string
184,上,anchor: appears in a completely decoded corpus string
185,軍,anchor: appears in a completely decoded corpus string
186,ヤ,anchor: appears in a completely decoded corpus string
187,カ,anchor: appears in a completely decoded corpus string
188,敵,anchor: appears in a completely decoded corpus string
189,我,anchor: appears in a completely decoded corpus string
190,炎,anchor: appears in a completely decoded corpus string
191,え,corpus: independent contexts うげええ / 終つてねえぞ / だらしないねえ
192,風,anchor: appears in a completely decoded corpus string
193,所,anchor: appears in a completely decoded corpus string
194,後,anchor: appears in a completely decoded corpus string
195,方,anchor: appears in a completely decoded corpus string
196,備,anchor: appears in a completely decoded corpus string
197,知,anchor: appears in a completely decoded corpus string
198,正,anchor: appears in a completely decoded corpus string
199,今,anchor: appears in a completely decoded corpus string
200,フ,anchor: appears in a completely decoded corpus string
201,ぶ,anchor: appears in a completely decoded corpus string
202,様,anchor: appears in a completely decoded corpus string
203,命,anchor: appears in a completely decoded corpus string
204,聖,anchor: appears in a completely decoded corpus string
205,世,anchor: appears in a completely decoded corpus string
206,時,anchor: appears in a completely decoded corpus string
207,攻,anchor: appears in a completely decoded corpus string
208,コ,"corrected: bitmap is an open-left bracket (コ), not two horizontal strokes (ニ); confirmed by ポコ and アイコン in context"
209,ぼ,corpus: independent contexts 僕ら / 落ちこぼれ / 僕を
210,聞,anchor: appears in a completely decoded corpus string
211,長,anchor: appears in a completely decoded corpus string
212,勝,anchor: appears in a completely decoded corpus string
213,ャ,anchor: appears in a completely decoded corpus string
214,ポ,anchor: appears in a completely decoded corpus string
215,ム,anchor: appears in a completely decoded corpus string
216,戻,anchor: appears in a completely decoded corpus string
217,年,anchor: appears in a completely decoded corpus string
218,テ,corpus: independent contexts アイテム / アイテム投げ
219,動,anchor: appears in a completely decoded corpus string
220,向,anchor: appears in a completely decoded corpus string
221,ガ,corpus: independent contexts チョンガラ / トン・ガバ
222,ィ,visual reading corrected by script context (12px kana/kanji confusion)
223,ゆ,corpus: independent contexts ゆつくり / ゆるす / ゆたかな
224,ほ,anchor: appears in a completely decoded corpus string
225,々,corpus: independent contexts 我々 / 方々
226,伝,anchor: appears in a completely decoded corpus string
227,全,anchor: appears in a completely decoded corpus string
228,持,anchor: appears in a completely decoded corpus string
229,火,anchor: appears in a completely decoded corpus string
230,村,anchor: appears in a completely decoded corpus string
231,光,anchor: appears in a completely decoded corpus string
232,供,anchor: appears in a completely decoded corpus string
233,母,anchor: appears in a completely decoded corpus string
234,封,anchor: appears in a completely decoded corpus string
235,森,anchor: appears in a completely decoded corpus string
236,心,anchor: appears in a completely decoded corpus string
237,界,anchor: appears in a completely decoded corpus string
238,委,anchor: appears in a completely decoded corpus string
239,ヨ,anchor: appears in a completely decoded corpus string
240,変,anchor: appears in a completely decoded corpus string
241,等,anchor: appears in a completely decoded corpus string
242,城,anchor: appears in a completely decoded corpus string
243,空,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
244,強,anchor: appears in a completely decoded corpus string
245,柩,anchor: appears in a completely decoded corpus string
246,魔,anchor: appears in a completely decoded corpus string
247,生,anchor: appears in a completely decoded corpus string
248,整,anchor: appears in a completely decoded corpus string
249,守,anchor: appears in a completely decoded corpus string
250,果,anchor: appears in a completely decoded corpus string
251,度,anchor: appears in a completely decoded corpus string
252,早,anchor: appears in a completely decoded corpus string
253,死,anchor: appears in a completely decoded corpus string
254,エ,anchor: appears in a completely decoded corpus string
255,欲,anchor: appears in a completely decoded corpus string
256,部,anchor: appears in a completely decoded corpus string
257,天,anchor: appears in a completely decoded corpus string
258,信,anchor: appears in a completely decoded corpus string
259,消,anchor: appears in a completely decoded corpus string
260,取,anchor: appears in a completely decoded corpus string
261,次,anchor: appears in a completely decoded corpus string
262,最,anchor: appears in a completely decoded corpus string
263,復,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
264,体,anchor: appears in a completely decoded corpus string
265,声,anchor: appears in a completely decoded corpus string
266,神,anchor: appears in a completely decoded corpus string
267,食,anchor: appears in a completely decoded corpus string
268,助,anchor: appears in a completely decoded corpus string
269,準,anchor: appears in a completely decoded corpus string
270,使,anchor: appears in a completely decoded corpus string
271,解,anchor: appears in a completely decoded corpus string
272,ベ,anchor: appears in a completely decoded corpus string
273,立,anchor: appears in a completely decoded corpus string
274,運,anchor: appears in a completely decoded corpus string
275,安,anchor: appears in a completely decoded corpus string
276,ヴ,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
277,ミ,anchor: appears in a completely decoded corpus string
278,へ,anchor: appears in a completely decoded corpus string
279,ゴ,corpus: independent contexts ゴーゲンさん / ゴーゲン様
280,ざ,corpus: independent contexts 罪人（ざいにん） / ございます
281,用,anchor: appears in a completely decoded corpus string
282,与,corpus: independent contexts 力を与えます / ダメージを与える
283,滅,anchor: appears in a completely decoded corpus string
284,爆,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
285,当,anchor: appears in a completely decoded corpus string
286,乗,anchor: appears in a completely decoded corpus string
287,印,anchor: appears in a completely decoded corpus string
288,ふ,corpus: independent contexts きくのふり / ふつふつ
289,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
290,勇,anchor: appears in a completely decoded corpus string
291,忘,corpus: independent contexts 忘れない / 忘れた / 存在を忘れ
292,物,anchor: appears in a completely decoded corpus string
293,港,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
294,兄,anchor: appears in a completely decoded corpus string
295,技,anchor: appears in a completely decoded corpus string
296,ゲ,anchor: appears in a completely decoded corpus string
297,キ,corpus: independent contexts ガキか
298,ぬ,anchor: appears in a completely decoded corpus string
299,望,anchor: appears in a completely decoded corpus string
300,法,anchor: appears in a completely decoded corpus string
301,道,anchor: appears in a completely decoded corpus string
302,的,anchor: appears in a completely decoded corpus string
303,争,anchor: appears in a completely decoded corpus string
304,プ,corpus: independent contexts マップ
305,カ,anchor: appears in a completely decoded corpus string
306,う,visual reading corrected by script context (12px kana/kanji confusion)
307,薬,anchor: appears in a completely decoded corpus string
308,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
309,集,anchor: appears in a completely decoded corpus string
310,始,anchor: appears in a completely decoded corpus string
311,切,corpus: independent contexts たたき切る / ぶつた切つて
312,込,anchor: appears in a completely decoded corpus string
313,家,anchor: appears in a completely decoded corpus string
314,ノ,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
315,セ,anchor: appears in a completely decoded corpus string
316,葉,anchor: appears in a completely decoded corpus string
317,破,anchor: appears in a completely decoded corpus string
318,奴,anchor: appears in a completely decoded corpus string
319,中,anchor: appears in a completely decoded corpus string
320,草,anchor: appears in a completely decoded corpus string
321,先,anchor: appears in a completely decoded corpus string
322,住,anchor: appears in a completely decoded corpus string
323,受,anchor: appears in a completely decoded corpus string
324,古,anchor: appears in a completely decoded corpus string
325,教,anchor: appears in a completely decoded corpus string
326,外,anchor: appears in a completely decoded corpus string
327,悪,anchor: appears in a completely decoded corpus string
328,ケ,corpus: independent contexts トヨーケの森
329,礼,anchor: appears in a completely decoded corpus string
330,無,anchor: appears in a completely decoded corpus string
331,民,anchor: appears in a completely decoded corpus string
332,不,anchor: appears in a completely decoded corpus string
333,飛,anchor: appears in a completely decoded corpus string
334,彼,anchor: appears in a completely decoded corpus string
335,日,anchor: appears in a completely decoded corpus string
336,通,anchor: appears in a completely decoded corpus string
337,奪,anchor: appears in a completely decoded corpus string
338,隊,anchor: appears in a completely decoded corpus string
339,召,anchor: appears in a completely decoded corpus string
340,終,anchor: appears in a completely decoded corpus string
341,殺,anchor: appears in a completely decoded corpus string
342,喚,anchor: appears in a completely decoded corpus string
343,化,anchor: appears in a completely decoded corpus string
344,ぎ,anchor: appears in a completely decoded corpus string
345,約,anchor: appears in a completely decoded corpus string
346,配,anchor: appears in a completely decoded corpus string
347,能,anchor: appears in a completely decoded corpus string
348,内,anchor: appears in a completely decoded corpus string
349,同,anchor: appears in a completely decoded corpus string
350,倒,anchor: appears in a completely decoded corpus string
351,殿,anchor: appears in a completely decoded corpus string
352,直,anchor: appears in a completely decoded corpus string
353,調,anchor: appears in a completely decoded corpus string
354,束,anchor: appears in a completely decoded corpus string
355,小,anchor: appears in a completely decoded corpus string
356,将,anchor: appears in a completely decoded corpus string
357,告,anchor: appears in a completely decoded corpus string
358,考,anchor: appears in a completely decoded corpus string
359,現,anchor: appears in a completely decoded corpus string
360,剣,anchor: appears in a completely decoded corpus string
361,急,anchor: appears in a completely decoded corpus string
362,遺,anchor: appears in a completely decoded corpus string
363,P,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
364,頼,anchor: appears in a completely decoded corpus string
365,明,anchor: appears in a completely decoded corpus string
366,未,anchor: appears in a completely decoded corpus string
367,味,anchor: appears in a completely decoded corpus string
368,亡,anchor: appears in a completely decoded corpus string
369,避,anchor: appears in a completely decoded corpus string
370,定,anchor: appears in a completely decoded corpus string
371,挑,anchor: appears in a completely decoded corpus string
372,仲,anchor: appears in a completely decoded corpus string
373,対,anchor: appears in a completely decoded corpus string
374,続,anchor: appears in a completely decoded corpus string
375,族,anchor: appears in a completely decoded corpus string
376,跡,anchor: appears in a completely decoded corpus string
377,寺,anchor: appears in a completely decoded corpus string
378,壊,anchor: appears in a completely decoded corpus string
379,ワ,corpus: independent contexts パレンシアタワー
380,ボ,corpus: independent contexts シンボル / ボリューム
381,ハ,corpus: independent contexts ハンサム
382,類,anchor: appears in a completely decoded corpus string
383,落,anchor: appears in a completely decoded corpus string
384,雷,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
385,防,corpus: independent contexts 滅亡を防ぐ
386,得,anchor: appears in a completely decoded corpus string
387,代,anchor: appears in a completely decoded corpus string
388,太,anchor: appears in a completely decoded corpus string
389,切,anchor: appears in a completely decoded corpus string
390,残,anchor: appears in a completely decoded corpus string
391,合,anchor: appears in a completely decoded corpus string
392,ご,corpus: independent contexts ご案内する
393,鏡,anchor: appears in a completely decoded corpus string
394,恐,anchor: appears in a completely decoded corpus string
395,許,anchor: appears in a completely decoded corpus string
396,か,corpus: independent contexts かかわらない / かかる
397,階,corpus: independent contexts 地下牢はこの下の階
398,引,anchor: appears in a completely decoded corpus string
399,ベ,corpus: independent contexts レベル
400,キ,corpus: independent contexts キャッキャッ
401,ベ,corpus: independent contexts カベが / カベを
402,ぐ,corpus: independent contexts すぐ / ぐつ
403,旅,anchor: appears in a completely decoded corpus string
404,眠,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
405,悲,corpus: independent contexts 悲しいこと / 大変悲しいお知らせ
406,討,anchor: appears in a completely decoded corpus string
407,渡,anchor: appears in a completely decoded corpus string
408,進,anchor: appears in a completely decoded corpus string
409,書,anchor: appears in a completely decoded corpus string
410,修,anchor: appears in a completely decoded corpus string
411,荒,anchor: appears in a completely decoded corpus string
412,効,anchor: appears in a completely decoded corpus string
413,呼,anchor: appears in a completely decoded corpus string
414,共,anchor: appears in a completely decoded corpus string
415,起,anchor: appears in a completely decoded corpus string
416,帰,anchor: appears in a completely decoded corpus string
417,リ,corpus: independent contexts リエちゃん
418,ヌ,corpus: independent contexts グレイシーヌ / フヌケ
419,ザ,corpus: independent contexts アークザラッド
420,宝,anchor: appears in a completely decoded corpus string
421,報,anchor: appears in a completely decoded corpus string
422,負,anchor: appears in a completely decoded corpus string
423,必,anchor: appears in a completely decoded corpus string
424,伐,anchor: appears in a completely decoded corpus string
425,売,anchor: appears in a completely decoded corpus string
426,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
427,逃,anchor: appears in a completely decoded corpus string
428,弟,anchor: appears in a completely decoded corpus string
429,値,anchor: appears in a completely decoded corpus string
430,誰,anchor: appears in a completely decoded corpus string
431,多,anchor: appears in a completely decoded corpus string
432,造,anchor: appears in a completely decoded corpus string
433,然,anchor: appears in a completely decoded corpus string
434,身,anchor: appears in a completely decoded corpus string
435,親,anchor: appears in a completely decoded corpus string
436,少,anchor: appears in a completely decoded corpus string
437,商,anchor: appears in a completely decoded corpus string
438,主,anchor: appears in a completely decoded corpus string
439,失,anchor: appears in a completely decoded corpus string
440,高,anchor: appears in a completely decoded corpus string
441,経,anchor: appears in a completely decoded corpus string
442,楽,anchor: appears in a completely decoded corpus string
443,開,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
444,可,anchor: appears in a completely decoded corpus string
445,意,anchor: appears in a completely decoded corpus string
446,案,anchor: appears in a completely decoded corpus string
447,連,anchor: appears in a completely decoded corpus string
448,理,anchor: appears in a completely decoded corpus string
449,由,anchor: appears in a completely decoded corpus string
450,野,anchor: appears in a completely decoded corpus string
451,僕,anchor: appears in a completely decoded corpus string
452,別,anchor: appears in a completely decoded corpus string
453,頂,anchor: appears in a completely decoded corpus string
454,着,anchor: appears in a completely decoded corpus string
455,説,anchor: appears in a completely decoded corpus string
456,弱,anchor: appears in a completely decoded corpus string
457,治,anchor: appears in a completely decoded corpus string
458,作,anchor: appears in a completely decoded corpus string
459,再,anchor: appears in a completely decoded corpus string
460,鼓,anchor: appears in a completely decoded corpus string
461,幻,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
462,苦,corpus: independent contexts 悲しみ、苦しみ
463,議,corpus: independent contexts 不思議な力 / 不思議な力をもつ太鼓
464,記,anchor: appears in a completely decoded corpus string
465,為,anchor: appears in a completely decoded corpus string
466,ペ,visual reading corrected by script context (12px kana/kanji confusion)
467,ゼ,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
468,づ,anchor: appears in a completely decoded corpus string
469,H,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
470,郎,anchor: appears in a completely decoded corpus string
471,練,anchor: appears in a completely decoded corpus string
472,良,anchor: appears in a completely decoded corpus string
473,裏,anchor: appears in a completely decoded corpus string
474,先,corpus: independent contexts この先から
475,娘,corpus: independent contexts 小娘
476,反,anchor: appears in a completely decoded corpus string
477,導,anchor: appears in a completely decoded corpus string
478,投,anchor: appears in a completely decoded corpus string
479,島,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
480,弾,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
481,探,anchor: appears in a completely decoded corpus string
482,他,anchor: appears in a completely decoded corpus string
483,相,anchor: appears in a completely decoded corpus string
484,選,anchor: appears in a completely decoded corpus string
485,船,corpus: independent contexts 飛行船
486,証,anchor: appears in a completely decoded corpus string
487,承,anchor: appears in a completely decoded corpus string
488,車,anchor: appears in a completely decoded corpus string
489,紙,anchor: appears in a completely decoded corpus string
490,支,anchor: appears in a completely decoded corpus string
491,師,anchor: appears in a completely decoded corpus string
492,骨,anchor: appears in a completely decoded corpus string
493,口,corpus: independent contexts 出口 / 入り口
494,拳,anchor: appears in a completely decoded corpus string
495,劇,corpus: independent contexts 悲劇
496,救,anchor: appears in a completely decoded corpus string
497,期,anchor: appears in a completely decoded corpus string
498,危,anchor: appears in a completely decoded corpus string
499,確,anchor: appears in a completely decoded corpus string
500,改,anchor: appears in a completely decoded corpus string
501,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
502,屋,anchor: appears in a completely decoded corpus string
503,違,anchor: appears in a completely decoded corpus string
504,ビ,corpus: independent contexts サービス
505,供,corpus: independent contexts 子供
506,ゅ,corpus: independent contexts 基本中の基本
507,牢,corpus: independent contexts 牢屋 / 地下牢 / 牢をやぶり
508,列,anchor: appears in a completely decoded corpus string
509,歴,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
510,流,corpus: independent contexts 涙を流した
511,夜,corpus: independent contexts 今夜 / あの夜会つた
512,名,anchor: appears in a completely decoded corpus string
513,動,corpus: independent contexts 始動した / 始動しろ
514,武,corpus: independent contexts 武器 / 武闘大会
515,夫,anchor: appears in a completely decoded corpus string
516,付,anchor: appears in a completely decoded corpus string
517,品,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
518,番,anchor: appears in a completely decoded corpus string
519,漠,anchor: appears in a completely decoded corpus string
520,典,anchor: appears in a completely decoded corpus string
521,笛,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
522,ひ,corpus: independent contexts ひどい目
523,滝,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
524,倉,anchor: appears in a completely decoded corpus string
525,丈,anchor: appears in a completely decoded corpus string
526,,"unresolved: no clean-string, corpus, or unambiguous external-Japanese-script proof"
527,呪,anchor: appears in a completely decoded corpus string
528,邪,corpus: independent contexts 邪魔 / 邪悪
529,実,"visual reading of original COMM.IMG 12x12 bitmap (contact sheet, extraction verified against 17/18 known glyphs)"
530,試,anchor: appears in a completely decoded corpus string
