source file,byte offset,length,raw bytes as hex,decoded Japanese
1/S1013.DAT,0x47A1C,14,E4 3D DE 88 32 1F 3E 1D 1B DF 61 DF 61 37,<CTRL:E4:3D>連れたくない・・。
1/S1013.DAT,0x47A90,8,4E 4E 53 24 DD 91 B5 37,ククル、頼む。
1/S1013.DAT,0x47B2E,45,42 31 4E 81 31 5F 34 25 E6 01 C8 DD 20 2E 41 24 5B CD DD 1A 5A 1C DD 0F DD 44 2F E6 01 DD 34 3E A9 1C 3D 26 35 1D E6 01 DD 47 7E 3D 02,"アークデーモン 
今度こそ、<G:90>聖柩<G:89>の封印を
解く気のようだな
勇者よ!"
1/S1013.DAT,0x47B8E,55,42 31 4E 81 31 5F 34 25 E6 01 DE 47 CB 2F AD 1C 87 30 DD 7A 2B 7A 23 3D 29 21 E6 01 AD 28 DE 6C 51 21 14 11 11 11 DA 1C DE 35 1B 20 33 E6 01 DD 34 DE 8F 3A 32 22 37,"アークデーモン 
貴様を俺の手で殺すこによつて
俺は初めて3000年の呪いから
解放される。"
1/S1013.DAT,0x47BF8,34,42 31 4E 81 31 5F 34 25 E6 01 5B CD DD 1A 5A 28 77 53 AF 60 8F 1C DE 31 23 E6 01 DE CA 1B 21 3F 22 37,"アークデーモン 
<G:90>聖柩<G:89>はサルバシオの滝に
置いてある。"
1/S1013.DAT,0x47C4C,28,42 31 4E 81 31 5F 34 25 E6 01 DE 47 CB 36 28 01 41 2E 30 9D DD EB 2F 45 49 3D 26 37,"アークデーモン 
貴様とは そこで決着をつけよう。"
1/S1021.DAT,0x4785C,26,42 65 DB D8 2A 3F 39 27 2B 37 E6 01 5B DD 58 DD 65 5A 2F 6D 45 49 27 1E 1F 37,"アイテムがあります。
<G:90>薬草<G:89>をみつけました。"
1/S1021.DAT,0x478AC,18,2E 2E 23 3F 29 1F 38 1C 28 38 26 7D 55 1B 27 1E 1F 37,ここにあつたものはもうひろいました。
1/S1021.DAT,0x47914,23,42 65 DB D8 2A 3F 39 27 2B 37 E6 01 5B 94 5A 2F 6D 45 49 27 1E 1F 37,"アイテムがあります。
<G:90>石<G:89>をみつけました。"
1/S1021.DAT,0x47962,19,2E 2E 23 3F 29 1F 5B 94 5A 28 38 26 7D 55 1B 27 1E 1F 37,ここにあつた<G:90>石<G:89>はもうひろいました。
1/S1021.DAT,0x479AA,37,2E 32 2F CA 45 49 32 58 24 E6 01 DD D9 1E 3E 33 1B 1C BD 35 29 1F 33 E6 01 DD 83 59 22 20 38 1E 32 1D 1B 1D 37,"これをぶつければ、
少しくらいの敵だつたら
倒せるかもしれないな。"
1/S1021.DAT,0x47A26,11,42 31 4E 1C DD 0E 25 E6 01 3F 02,"アークの母 
あ!"
1/S1021.DAT,0x47A82,30,42 65 DB D8 2A 3F 39 27 2B 37 E6 01 5B DD 1B DD 51 1C BC 31 95 5A 2F 6D 45 49 27 1E 1F 37,"アイテムがあります。
<G:90>魔法のカート<G:89>をみつけました。"
1/S1021.DAT,0x47AD6,42,42 31 4E 1C DD 0E 25 E6 01 41 32 2F 38 29 21 1B 29 21 38 24 E6 01 6E 38 1B 1B 2E 36 28 1D 1B 20 38 E6 01 1E 32 1D 1B 43 3D 37,"アークの母 
それをもつていつても、
何もいいことはないかも
しれないわよ。"
1/S1021.DAT,0x47B34,24,41 2D 1D 2E 36 1D 1B 35 55 37 E4 29 E6 01 4A 48 24 38 29 21 1B 3E 3D 37,"そんなことないだろ。<CTRL:E4:29>
じゃ、もつていくよ。"
1/S1021.DAT,0x47B7E,38,42 31 4E 1C DD 0E 25 E6 01 59 29 20 3E 3F 9C 1F 2D 35 20 33 24 E6 01 4B 48 2D 36 41 26 99 1E 21 45 20 26 1C 3D 37,"アークの母 
せつかくあげたんだから、
ちゃんとそうびしてつかうのよ。"
1/S1021.DAT,0x47BD8,6,43 20 29 1F 3D 37,わかつたよ。
1/S1021.DAT,0x47C38,20,B7 1C 20 1F 6D 1C 3D 55 1B 36 DD 8D 2F 6D 45 49 27 1E 1F 37,父のかたみのよろいと剣をみつけました。
1/S1021.DAT,0x47CDE,38,42 31 4E 1C DD 0E 25 E6 01 3B B7 3A 2D 1C 3D 55 1B 36 DD 8D 28 3B 3E 1C DD 25 DE 1C 1C E6 01 28 2E 1C DD 64 3D 37,"アークの母 
お父さんのよろいと剣はおくの部屋の
はこの中よ。"
1/S1021.DAT,0x47D46,18,DD 0E 3A 2D 24 DD 11 DD 7F 1E 1D 1B 30 DF 61 DF 61 37,母さん、心配しないで・・。
1/S1021.DAT,0x47D8A,36,42 31 4E 1C DD 0E 25 E6 01 DF 61 DF 61 DF 61 42 31 4E E4 3D E6 01 2E 32 2F 38 29 21 1B 44 1D 3A 1B 37 E4 3D,"アークの母 
・・・アーク<CTRL:E4:3D>
これをもつていきなさい。<CTRL:E4:3D>"
1/S1021.DAT,0x47DE4,21,5B BC 65 DD C8 31 80 A2 31 C9 5A 2F 38 33 1B 27 1E 1F 37 E4 1F,<G:90>カイザーグローフ<G:89>をもらいました。
1/S1021.DAT,0x47E30,19,5B DD 2C DE 49 1C DD 58 5A 2F 38 33 1B 27 1E 1F 37 E4 1F,<G:90>復活の薬<G:89>をもらいました。
1/S1021.DAT,0x47E7A,19,5B 9E DD 2C DD 1F DD 49 5A 2F 38 33 1B 27 1E 1F 37 E4 1F,<G:90>回復果物<G:89>をもらいました。
1/S1021.DAT,0x47EC8,14,5B CD B8 5A 2F 38 33 1B 27 1E 1F 37 E4 1F,<G:90>聖水<G:89>をもらいました。
1/S1021.DAT,0x47F0E,21,42 31 4E 1C DD 0E 25 E6 01 42 31 4E E4 15 2C E4 15 2C E4 15 2C,"アークの母 
アーク<CTRL:E4:15>・<CTRL:E4:15>・<CTRL:E4:15>・"
1/S1021.DAT,0x4807A,40,B7 3A 2D 1C 20 1F 6D 1C 3D 55 1B 36 DD 8D E4 1F E6 01 2E 1C DD 64 23 3F 22 1C 28 E6 01 B2 20 29 21 1B 22 2D 35 49 54 37,"父さんのかたみのよろいと剣
この中にあるのは
分かつているんだけど。"
1/S1021.DAT,0x480D6,18,BC DD B6 2A 01 20 20 29 21 22 1D 2D 21 DF 61 DF 61 37,カベが かかつてるなんて・・。
1/S1021.DAT,0x48148,5,DF 61 DF 61 02,・・!
1/S1021.DAT,0x48196,38,DD 0E 3A 2D E4 0B 24 E6 01 3F 1C DD 74 38 24 C8 DE 25 6D 1F 1B 23 2B 79 1B E6 01 97 CA 44 35 29 1F 2D 35 3D 4C 3C,"母さん<CTRL:E4:0B>、
あの日も、今夜みたいにすごい
ふぶきだつたんだよね？"
1/S1021.DAT,0x481F0,45,AD 24 C8 DE 25 01 9B 8A 74 49 58 E6 01 B7 3A 2D 2A DD 0E 3A 2D 36 AD 2F 3B 1B 21 E6 01 DD 28 46 1F 43 49 2A B2 20 22 A9 2A 2B 22 2D 35,"俺、今夜 山へ行けば
父さんが母さんと俺をおいて
消えたわけが分かる気がするんだ"
1/S1021.DAT,0x48250,35,42 31 4E 1C DD 0E 25 E6 01 3F 1D 1F 1C 3B B7 3A 2D 28 4C 24 E6 01 E4 29 DD 22 2D 35 1C 3D DF 61 DF 61 37,"アークの母 
あなたのお父さんはね、
<CTRL:E4:29>死んだのよ・・。"
1/S1021.DAT,0x482A8,45,B7 3A 2D 2A DD 22 2D 35 1D 2D 21 26 41 35 55 3C E4 3D 3F 1C DD 19 20 29 1F B7 3A 2D 2A E6 01 20 2D 1F 2D 23 DD 22 DD 4F 28 8C 1D 1B 37,"父さんが死んだなんてうそだろ？<CTRL:E4:3D>あの強かつた父さんが
かんたんに死ぬはすない。"
1/S1021.DAT,0x48308,35,42 31 4E 1C DD 0E 25 E6 01 9B 23 28 44 29 36 E6 01 DD AF 55 1E 1B 5F 34 47 62 31 2A 1B 21 DF 61 DF 61 37,"アークの母 
山にはきつと
恐ろしいモンスターがいて・・。"
1/S1021.DAT,0x48360,50,38 1E 38 24 B7 3A 2D 2A E6 01 5F 34 47 62 31 23 DD 7A 3A 32 1F 1C 1D 33 E6 01 DF 61 DF 61 AD 2A B7 3A 2D 1C BD 09 20 1F 44 0A 2F DD BB 29 21 40 22 02,"もしも、父さんが
モンスターに殺されたのなら
・・俺が父さんの敵(かたき)を討つてやる!"
1/S1021.DAT,0x483C6,32,DD 0E 3A 2D DF 61 DF 61 E6 01 AD 24 A4 B2 A4 DD D7 1C AC 30 E6 01 DE 19 20 51 1F 1B 2D 35 3D 37,"母さん・・
俺、自分自身の目で
確かめたいんだよ。"
1/S1021.DAT,0x48420,17,42 31 4E 1C DD 0E 25 E6 01 42 31 4E DF 61 DF 61 37,"アークの母 
アーク・・。"
1/S1021.DAT,0x48496,9,DD 0E 3A 2D DF 61 DF 61 37,母さん・・。
1/S1021.DAT,0x48512,42,42 31 4E 1C DD 0E 25 E6 01 3F 1C 52 2A DD B8 23 30 21 12 11 DA E6 01 3F 1C 52 1C 91 DD 61 DD 75 39 23 1D 29 21 1E 27 29 1F 37,"アークの母 
あの人が旅にでて10年
あの人の言葉通りになつてしまつた。"
1/S1021.DAT,0x485E8,33,42 31 4E 1C DD 0E 25 E6 01 3F 1D 1F DF 61 DF 61 E4 15 E6 01 54 26 1E 21 38 74 29 21 1E 27 26 1C 37,"アークの母 
あなた・・<CTRL:E4:15>
どうしても行つてしまうの。"
1/S1021.DAT,0x4863C,43,42 31 4E 1C B7 25 E6 01 B2 20 29 21 3E 32 24 D7 53 62 37 E6 01 2E 1C CE DD 12 1C DD 37 CC 23 E6 01 20 20 43 22 2E 36 1D 1C 35 37,"アークの父 
分かつてくれ、ポルタ。
この世界の運命に
かかわることなのだ。"
1/S1021.DAT,0x4869A,44,42 31 4E 1C DD 0E 25 E6 01 1D 2D 30 3F 1D 1F 2A DF 61 DF 61 37 E4 3D E6 01 85 36 42 31 4E 28 54 26 2B 32 58 1B 1B 1C DF 61 DF 61 3C,"アークの母 
なんであなたが・・。<CTRL:E4:3D>
私とアークはどうすればいいの・・？"
1/S1021.DAT,0x486F8,36,42 31 4E 1C B7 25 E6 01 DF 61 DF 61 2B 27 1D 1B 37 E4 1F E6 01 35 2A 85 2A 40 33 1D 49 32 58 DF 61 DF 61 37,"アークの父 
・・すまない。
だが私がやらなければ・・。"
1/S1021.DAT,0x4874E,34,42 31 4E 1C DD 0E 25 E6 01 1B 40 30 2B 02 E6 01 85 28 79 3E 97 45 26 1C DE 73 59 2A 3F 32 58 DF 61 37,"アークの母 
いやです!
私はごくふつうの幸せがあれば・。"
1/S1021.DAT,0x487A2,67,42 31 4E 1C B7 25 E6 01 12 11 DA C3 1C C8 DD 74 24 DD 0F DD 44 09 97 26 1B 2D 0A 2A E6 01 DD 34 20 32 24 DD F0 99 9B 2A DD C0 32 22 DF 61 DF 61 37 E4 1F E6 01 41 1C CF 42 31 4E 28 9B 8A DD 01 20 26 37,"アークの父 
10年後の今日、封印(ふういん)が
解かれ、再び山が荒れる・・。
その時アークは山へ向かう。"
1/S1021.DAT,0x48818,16,42 31 4E 1C DD 0E 25 E6 01 9B 2A DD C0 32 22 3C,"アークの母 
山が荒れる？"
1/S1021.DAT,0x4885A,36,42 31 4E 1C B7 25 E6 01 DD 0F DD 44 09 97 26 1B 2D 0A 3A 32 21 1B 1F E6 01 5F 34 47 62 31 2A DD 8C 32 22 37,"アークの父 
封印(ふういん)されていた
モンスターが現れる。"
1/S1021.DAT,0x488B0,38,42 31 4E 1C DD 0E 25 E6 01 41 2D 1D C2 8A 01 3F 1C 96 2A DF 61 DF 61 37 E6 01 40 51 21 70 3A 1B 02 6E 38 20 38 02,"アークの母 
そんな所へ あの子が・・。
やめて下さい!何もかも!"
1/S1021.DAT,0x48908,41,42 31 4E 1C B7 25 E6 01 D7 53 62 DF 61 DF 61 E6 01 41 1C DD 74 27 30 BE 2A 96 2F E6 01 E4 15 42 31 4E 2F 1F 1C 2D 35 6A 02,"アークの父 
ポルタ・・
その日まで我が子を
<CTRL:E4:15>アークをたのんだぞ!"
1/S1021.DAT,0x48A4E,21,B7 3A 2D 1C 20 1F 6D 2F E6 01 DD D7 23 DE 2A 49 1D 3E 4B 48 37,"父さんのかたみを
身に付けなくちゃ。"
1/S1021.DAT,0x48AC6,26,B7 3A 2D 1C 20 1F 6D 28 24 3B 3E 1C E6 01 28 2E 1C DD 64 23 3F 22 28 8C 35 37,"父さんのかたみは、おくの
はこの中にあるはすだ。"
1/S1021.DAT,0x48B14,41,B0 1E 20 49 22 36 44 38 24 E6 01 42 65 DB D8 2F 3A 2A 2B 36 44 38 24 E6 01 DE 44 DD F9 1B 21 20 33 E7 02 2F 3B 2B 2D 35 37,"話しかけるときも、
アイテムをさがすときも、
近づいてから<CTRL:E7:02>をおすんだ。"
1/S1021.DAT,0x48C34,22,54 26 1E 21 38 24 A4 B2 1C 61 30 E6 01 40 29 21 6D 1F 1B 2D 35 37,"どうしても、自分の力で
やつてみたいんだ。"
1/S1021.DAT,0x48C88,14,DD 0E 3A 2D 23 24 8E 91 1B 43 1D 44 48 37,母さんに、一言いわなきゃ。
1/S1021.DAT,0x48CF8,41,B0 1E 20 49 22 36 44 38 24 E6 01 42 65 DB D8 2F 3A 2A 2B 36 44 38 24 E6 01 DE 44 DD F9 1B 21 20 33 E7 02 2F 3B 2B 2D 35 37,"話しかけるときも、
アイテムをさがすときも、
近づいてから<CTRL:E7:02>をおすんだ。"
1/S1021.DAT,0x48DA6,28,42 31 4E 1C DD 0E 25 E6 01 DD 14 60 AB 42 24 42 31 4E 2F DD 1E 29 21 DF 61 DF 61 37,"アークの母 
ヨシュア、アークを守つて・・。"
1/S1022.DAT,0x4789A,15,41 32 4A 48 DD 0E 3A 2D 24 74 3E 20 33 4C 37,それじゃ母さん、行くからね。
1/S1022.DAT,0x478DC,16,42 31 4E 1C DD 0E 25 E6 01 DF 61 DF 61 DF 61 37,"アークの母 
・・・。"
1/S1022.DAT,0x47940,24,42 31 4E 1C DD 0E 25 E6 01 3B 27 46 38 24 1B 29 21 1E 27 26 1C 20 1B 3C,"アークの母 
おまえも、いつてしまうのかい？"
1/S1022.DAT,0x479A2,47,41 2D 1D 24 50 1E 1F 7A 4A 48 1D 1B 3D 37 E6 01 5D CB 23 DD C2 58 32 21 E6 01 A3 6F 34 60 42 1C DE 98 23 74 3E 35 49 E6 01 4A 48 1D 1B 20 37,"そんな、大したこじゃないよ。
王様に呼ばれて
パレンシアの都に行くだけ
じゃないか。"
1/S1022.DAT,0x47A06,28,66 68 23 36 39 1F 21 33 32 32 58 E6 01 DD 0E 3A 2D 23 38 DD DF 1E 21 38 33 46 22 37,"兵士にとりたてられれば
母さんにも楽してもらえる。"
1/S1022.DAT,0x47A62,46,42 31 4E 1C DD 0E 25 E6 01 DF 61 DF 61 DD 2D 2F 50 DD AA 23 4C 37 E4 3D E6 01 45 33 3E 1D 29 1F 33 E6 01 1B 45 30 38 D9 29 21 3B 1B 30 37,"アークの母 
・・体を大切にね。<CTRL:E4:3D>
つらくなつたら
いつでも戻つておいで。"
1/S1022.DAT,0x47ACA,36,42 31 4E 1C DD 0E 25 E6 01 DF 61 DF 61 DF 61 42 31 4E E4 3D E6 01 2E 32 2F 38 29 21 1B 44 1D 3A 1B 37 E4 3D,"アークの母 
・・・アーク<CTRL:E4:3D>
これをもつていきなさい。<CTRL:E4:3D>"
1/S1022.DAT,0x47B24,22,5B 1E 29 DE B5 26 1C AF 34 67 7C 5A 2F 38 33 1B 27 1E 1F 37 E4 1F,<G:90>しつぷうのバンダナ<G:89>をもらいました。
1/S1022.DAT,0x47B70,17,5B DD 2C DE 49 1C DD 58 5A 2F 38 33 1B 27 1E 1F 37,<G:90>復活の薬<G:89>をもらいました。
1/S1022.DAT,0x47BB8,12,5B CD B8 5A 2F 38 33 1B 27 1E 1F 37,<G:90>聖水<G:89>をもらいました。
1/S1022.DAT,0x47C0E,20,3F 3F E4 1F E6 01 41 2D 1D 23 DD 11 DD 7F 2B 22 1D 29 21 37,"ああ
そんなに心配するなつて。"
1/S1022.DAT,0x47C68,17,42 31 4E 1C DD 0E 25 E6 01 42 31 4E DF 61 DF 61 37,"アークの母 
アーク・・。"
1/S1023.DAT,0x478BC,25,42 31 4E 1C DD 0E 25 E6 01 45 20 32 1F 33 1B 45 30 38 D9 29 21 3B 1B 30 37,"アークの母 
つかれたらいつでも戻つておいで。"
1/S1023.DAT,0x4790C,14,5B DD 58 DD 65 5A 2F 38 33 1B 27 1E 1F 37,<G:90>薬草<G:89>をもらいました。
1/S1023.DAT,0x47952,47,42 31 4E 1C DD 0E 25 E6 01 B7 3A 2D 1C DE CA 44 87 DE 0F 2A 3F 22 49 54 3D B5 20 1B 3C E6 01 E5 03 DD 35 45 23 1B 1B 37 E6 01 E5 03 3D B5 37,"アークの母 
父さんの置き手紙があるけどよむかい？
<CTRL:E5:03>ベつにいい。
<CTRL:E5:03>よむ。"
1/S1023.DAT,0x479C0,22,42 31 4E 1C DD 0E 25 E6 01 DD 6F DD E5 2B 22 2D 4A 48 1D 1B 3D 37,"アークの母 
無理するんじゃないよ。"
1/S1023.DAT,0x47A40,55,B7 1C 87 DE 0F 25 E6 01 3B 27 46 1C DD B8 1C DD 31 49 23 1D 32 58 36 9F 1B E6 01 2E 32 2F DD BE 1B 21 1B 22 37 E6 01 CC 2F 50 DD AA 23 24 63 1B DD 4F 1B 21 3E 32 37,"父の手紙 
おまえの旅の助けになればと思い
これを書いている。
命を大切に、戦いぬいてくれ。"
1/S1023.DAT,0x47AB0,55,E5 03 DD 19 3E 1D 22 1F 51 23 28 E6 01 E5 03 DD EF 63 2F 1F 21 22 23 28 E6 01 E5 03 BD 20 33 67 78 31 7F 2F DD 68 49 1D 1B 1F 51 23 28 12 E5 03 DD 2A 1C DD F7 31 7F,"<CTRL:E5:03>強くなるためには
<CTRL:E5:03>作戦をたてるには
<CTRL:E5:03>敵からダメージを受けないためには1<CTRL:E5:03>次のページ"
1/S1023.DAT,0x47B30,40,E5 03 BD 20 33 67 78 31 7F 2F DD 68 49 1D 1B 1F 51 23 28 13 E5 03 26 27 3E 63 26 23 28 E6 01 E5 03 3D B5 1C 40 51 22 37,"<CTRL:E5:03>敵からダメージを受けないためには2<CTRL:E5:03>うまく戦うには
<CTRL:E5:03>よむのやめる。"
1/S1023.DAT,0x47BA0,27,54 2E 1C 5E 23 38 24 1B 45 74 29 21 38 5F 34 47 62 31 1C 1B 22 89 C2 2A 3F 22 37,どこの国にも、いつ行つてもモンスターのいる場所がある。
1/S1023.DAT,0x47BEE,27,2E 2E 30 6E DD 20 38 63 46 58 24 E6 01 54 2D 54 2D DD 19 3E 1D 32 22 28 8C 35 37,"ここで何度も戦えば、
どんどん強くなれるはすだ。"
1/S1023.DAT,0x47C3C,61,2E 1C 89 C2 1C 5F 34 47 62 31 28 DD 4D 31 D8 2A DD BD 2D 30 38 DD 15 43 33 1D 1B 1C 30 24 DE 62 46 1F 1B 6F DD B4 53 23 E6 01 DD AC 43 59 21 89 C2 2F DE 0A DD 35 58 3D 1B 35 55 26 37,"この場所のモンスターはゲームが進んでも変わらないので、鍛えたいレベルに
合わせて場所を選ベばよいだろう。"
1/S1023.DAT,0x47CB8,36,DD 10 40 DF 1A DF 48 1D 54 30 28 24 9F 43 DD 4F 36 2E 55 20 33 E6 01 BD 2A 44 21 40 33 32 22 7A 2A 3F 22 37,"森や洞窟などでは、思わぬところから
敵がきてやられるこがある。"
1/S1023.DAT,0x47D0E,38,A4 B2 1C 62 31 34 1C CF 23 24 DF 60 DF 03 DD A1 62 34 2F DD 82 CF 23 3B 1E 21 A6 6B 31 BC 31 DE 4D 53 23 1E 21 24,自分のターンの時に、LRボタンを同時におしてフリーカーソルにして、
1/S1023.DAT,0x47D66,37,2E 32 2F DD 33 29 21 24 5F 34 47 62 31 1C 89 C2 24 64 82 DD 55 2F 3D 3E A0 21 DD EF 63 2F DD 36 21 22 1C 35 37,これを使つて、モンスターの場所、マップをよく見て作戦を立てるのだ。
1/S1023.DAT,0x47DCA,35,BD 23 D0 B1 1E 1F 89 DD AC 23 24 DE 02 B1 2F 3A 32 24 E6 01 67 78 31 7F 2F DD 68 49 22 2E 36 2A 3F 22 37,"敵に攻撃した場合に、反撃をされ、
ダメージを受けることがある。"
1/S1023.DAT,0x47E20,38,2E 32 2F DD 96 49 22 1F 51 23 28 24 E6 01 BD 1C C3 55 20 3D 2E 23 E6 01 9E 39 DD 5D 2D 30 D0 B1 2B 22 2E 36 35 37,"これを避けるためには、
敵の後ろかよこに
回り込んで攻撃することだ。"
1/S1023.DAT,0x47E78,48,DE F3 23 24 A4 B2 2A D0 B1 3A 32 22 CF 23 1D 22 DD 35 3E 24 E6 01 C7 DE 8C 20 33 23 1D 22 3D 26 23 2B 22 36 E6 01 BD 23 DE 02 B1 1E 40 2B 1B 37,"逆に、自分が攻撃される時になるベく、
正面からになるようにすると
敵に反撃しやすい。"
1/S1023.DAT,0x47EDA,25,63 1B 28 24 DD 88 3A 1D 7A 1C 45 6D 20 3A 4C 2A E6 01 50 DD AA 1D 1C 35 37,"戦いは、小さなこのつみかさねが
大切なのだ。"
1/S1023.DAT,0x47F32,39,DD 1B DD 51 D0 B1 36 42 65 DB D8 2F DE 04 9C 45 49 22 D0 B1 28 24 DE D4 DD 9A 23 BD 1C DE 02 B1 2F DD 68 49 1D 1B 37,魔法攻撃とアイテムを投げつける攻撃は、絶対に敵の反撃を受けない。
1/S1023.DAT,0x47F8C,33,1F 35 1E 24 BD 23 67 78 31 7F 2F DD 3F 46 33 32 22 E6 01 42 65 DB D8 28 20 DD 7D 33 32 21 1B 22 37,"ただし、敵にダメージを与えられる
アイテムはかぎられている。"
1/S1023.DAT,0x47FE0,23,36 39 3F 46 8C 28 24 94 2F DE 04 9C 45 49 22 1C 2A 1B 1B 35 55 26 37,とりあえすは、石を投げつけるのがいいだろう。
1/S1023.DAT,0x48036,51,B2 32 45 2B 22 5F 34 47 62 31 28 24 E6 01 DD FA DD 90 2A DF 16 B2 23 1D 22 2A 24 DD 83 1E 1F CF 23 38 33 46 22 DD DE DE 75 DD D2 28 DD 15 43 33 1D 1B 37,"分れつするモンスターは、
HPが半分になるが、倒した時にもらえる経験値は変わらない。"
1/S1023.DAT,0x4809C,16,2E 32 2F DE 89 DD 3E 2B 22 36 1B 1B 35 55 26 37,これを利用するといいだろう。
1/S1023.DAT,0x48142,13,DD 0E 3A 2D 24 DD 58 DD 65 3E 32 3D 37,母さん、薬草くれよ。
1/S1023.DAT,0x48182,40,42 31 4E 1C DD 0E 25 E6 01 42 31 4E 24 3D 3E D3 3E 1C 3D E6 01 26 4B 23 28 38 26 DD 58 DD 65 28 1D 1B 1C DF 61 DF 61 37,"アークの母 
アーク、よく聞くのよ
うちにはもう薬草はないの・・。"
1/S1023.DAT,0x481DC,25,42 31 4E 1C DD 0E 25 E6 01 A4 B2 1C 61 30 6E 36 20 1E 21 4B 73 26 35 1B 37,"アークの母 
自分の力で何とかしてちょうだい。"
1/S1023.DAT,0x48232,5,2C 2C 2C 2C 2C,・・・・・
1/S1023.DAT,0x48306,28,42 31 4E 1C DD 0E 25 E6 01 DD 0E 3A 2D 24 3F 1D 1F 23 28 27 49 1F 43 DF 61 DF 61 37,"アークの母 
母さん、あなたにはまけたわ・・。"
1/S1023.DAT,0x48358,16,5B 4B 20 33 1C DE 37 5A 2F 38 33 1B 27 1E 1F 37,<G:90>ちからの実<G:89>をもらいました。
1/S1023.DAT,0x4839E,15,5B A3 A2 1C DE 37 5A 2F 38 33 1B 27 1E 1F 37,<G:90>パロの実<G:89>をもらいました。
1/S1023.DAT,0x483E4,19,5B 1B 1C 4B 1C DF 0A 1C DE 37 5A 2F 38 33 1B 27 1E 1F 37,<G:90>いのちの木の実<G:89>をもらいました。
1/S1023.DAT,0x484C6,25,42 31 4E 1C DD 0E 25 E6 01 38 26 24 6E 38 DD 6F 1B 1C 3D DF 61 DF 61 DF 61,"アークの母 
もう、何も無いのよ・・・"
1/S1023.DAT,0x4853C,31,42 31 4E 1C DD 0E 25 E6 01 09 B5 20 1E 28 3F 2D 1D 96 4A 48 1D 20 29 1F 1C 23 DF 61 DF 61 0A,"アークの母 
(むかしはあんな子じゃなかつたのに・・)"
1/S1041.DAT,0x4794A,7,DF 61 DF 61 02 E4 1F,・・!
1/S1041.DAT,0x479BA,36,42 31 4E 81 31 5F 34 25 E6 01 3B 27 46 2A DD 0F DD 44 09 97 26 1B 2D 0A 2F E6 01 DD 34 1B 1F DD 47 7E 20 3C,"アークデーモン 
おまえが封印(ふういん)を
解いた勇者か？"
1/S1041.DAT,0x47A12,18,DF 61 DF 61 B7 3A 2D 2F DD 7A 1E 1F BB DF 01 35 1D 02,・・父さんを殺したヤツだな!
