member,offset,before,after,reason
5/S5041.DAT,0x451A1,A1,0C,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x451A2,09,A9,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x451A3,DD,00,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x451A4,DF,00,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x451A5,0C,00,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x451A6,21,00,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x45214,DD,DE,존개 -> 존재
5/S5041.DAT,0x45215,B4,52,존개 -> 존재
5/S5041.DAT,0x4540D,DD,03,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x4540E,01,A1,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x4540F,A1,5F,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x45410,5F,DD,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x45411,DD,A0,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x45412,A8,A1,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x45413,0D,DE,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x45414,A1,1C,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x45415,2B,0D,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x45417,DD,2B,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x45418,88,A1,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x45419,06,DD,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x4541A,04,88,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x4541B,0E,06,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x4541C,21,04,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x4541D,00,A1,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x4541E,00,1B,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x4541F,00,03,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x45420,00,49,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
5/S5041.DAT,0x45421,00,21,approved E2 slot wording: 빛의 정령: 인간들이 무슨 짓을 해 왔는지 말이야.
8/S8051.DAT,0x4548C,DD,DE,개미있는 -> 재미있는
8/S8051.DAT,0x4548D,B4,52,개미있는 -> 재미있는
E5/SE05A.DAT,0x48BFA,DD,DE,개미있었다 -> 재미있었다
E5/SE05A.DAT,0x48BFB,B4,52,개미있었다 -> 재미있었다
E5/SE05A.DAT,0x4903A,DD,DE,개미있다 -> 재미있다
E5/SE05A.DAT,0x4903B,B4,52,개미있다 -> 재미있다
