id,status,severity,finding,evidence,next_action,storage_class
ascii_format:8DAC4,PASS_SEMANTIC,NONE,ASCII numeric format '%02d' unchanged; not native game text.,Original/current bytes 25303264; static ref 801621C0 calls sprintf801759B8; B324 at801621D0,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ascii_format:8DACC,PASS_SEMANTIC,NONE,ASCII numeric format ' %02d' unchanged; not native game text.,Original/current bytes 2025303264; static ref 80164074 calls sprintf801759B8; B324 at80164088,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ascii_format:8DAD4,PASS_SEMANTIC,NONE,ASCII numeric format ' %02d' unchanged; not native game text.,Original/current bytes 2025303264; static ref 80164B48 calls sprintf801759B8; B324 at80164B5C,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ascii_format:8DAFC,PASS_SEMANTIC,NONE,ASCII numeric format '%d' unchanged; not native game text.,Original/current bytes 2564; static ref 80169768 calls sprintf801759B8; native floor composite80169774..80169798,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ascii_format:8DB00,PASS_SEMANTIC,NONE,ASCII numeric format '%%%dd' unchanged; not native game text.,Original/current bytes 2525256464; static ref 8016B1E8 calls sprintf801759B8; dynamic format builder8016B1BC then numeric draw,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ascii_format:8DB08,PASS_SEMANTIC,NONE,ASCII numeric format '%%+%dd' unchanged; not native game text.,Original/current bytes 25252b256464; static ref 8016B200 calls sprintf801759B8; dynamic signed format builder8016B1BC then numeric draw,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ascii_format:8DB10,PASS_SEMANTIC,NONE,ASCII numeric format '%d' unchanged; not native game text.,Original/current bytes 2564; static ref 8016BD0C calls sprintf801759B8; native number converter8016BD20; text substitution helper,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ui_pointer:781B8,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Direct original caller8012C7CC passes to8012D734 after selector drawing8012D220; load-only menu reachability still not fully traced.,Original MIPS disassembly; extra_system_probe.py contexts and configuration80160810..80160928,Root must merge this update with original 255-row review; unresolved caller traces remain,PREVIOUS_REVIEW_UPDATE
ui_pointer:82360,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Indexed help bank: additional L/R instruction still needs all-input-state proof. No direct static pointer xref found.,Original MIPS disassembly; extra_system_probe.py contexts and configuration80160810..80160928,Root must merge this update with original 255-row review; unresolved caller traces remain,PREVIOUS_REVIEW_UPDATE
ui_pointer:825E8,ACCEPTABLE_ABBREVIATION,LOW,Resolved option context: original configuration row1 pairs825E4 normal /825E8 improve; current 일반/사용 expresses normal versus enhanced input. Table loop801608A8/801608C0 proves pairing.,Original MIPS disassembly; extra_system_probe.py contexts and configuration80160810..80160928,Root must merge this update with original 255-row review; unresolved caller traces remain,PREVIOUS_REVIEW_UPDATE
ui_pointer:82AC8,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Direct original consumer801666F4 stages equipment prompt and registers callback8016674C; all callers being pre-battle not yet proven.,Original MIPS disassembly; extra_system_probe.py contexts and configuration80160810..80160928,Root must merge this update with original 255-row review; unresolved caller traces remain,PREVIOUS_REVIEW_UPDATE
