id,status,severity,finding,evidence,next_action,scope,original_choice_count,current_choice_count,original_japanese,current_korean
21/S2042.DAT:47D5A,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=10; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>値ひれ究投ミ恵<CTRL:E6:00><CTRL:E5:02>場ふ究投ミ恵<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>,<CTRL:E502> 뒤    제<CTRL:E600><CTRL:E502>자십   제<CTRL:E600><CTRL:E502>운어러의 <CTRL:E600><CTRL:E502> 스은오 <CTRL:E600>
21/S2042.DAT:47DD4,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=11; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 면뒤 거 <CTRL:E600><CTRL:E502> 덕요드변거 <CTRL:E600><CTRL:E502>심여스도드 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2042.DAT:47E2C,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=12; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねコ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 느느고 거 <CTRL:E600><CTRL:E502> 뒤라드도토거 <CTRL:E600><CTRL:E502> 드 덕거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2042.DAT:47E86,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=13; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,2,2,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 느드두 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2042.DAT:47FF0,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=14; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,2,2,"チョピン 
何か私でお力になれるこはありますか？
<CTRL:E5:03>ベつにない。
<CTRL:E5:03>ちょつと教えてほしい。",초핀: |더 도와드릴까요?       |<CTRL:E503>괜찮아  |<CTRL:E503>하나만 더       
21/S2042.DAT:4811E,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=15; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,3,3,"<CTRL:E5:04>どうすれば強くなれるの？
<CTRL:E5:04>何か戦いのコツはあるの？
<CTRL:E5:04>やつっり、いいや。",<CTRL:E504>강해지는 법     |<CTRL:E504>전투 요령       |<CTRL:E504>그만       
21/S2043.DAT:47D5A,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=16; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>値ひれ究投ミ恵<CTRL:E6:00><CTRL:E5:02>場ふ究投ミ恵<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>,<CTRL:E502> 뒤    제<CTRL:E600><CTRL:E502>자십   제<CTRL:E600><CTRL:E502>운어러의 <CTRL:E600><CTRL:E502> 스은오 <CTRL:E600>
21/S2043.DAT:47DD4,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=17; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 면뒤 거 <CTRL:E600><CTRL:E502> 덕요드변거 <CTRL:E600><CTRL:E502>심여스도드 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2043.DAT:47E2C,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=18; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねコ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 느느고 거 <CTRL:E600><CTRL:E502> 뒤라드도토거 <CTRL:E600><CTRL:E502> 드 덕거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2043.DAT:47E86,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=19; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,2,2,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 느드두 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2044.DAT:47D5A,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=20; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>値ひれ究投ミ恵<CTRL:E6:00><CTRL:E5:02>場ふ究投ミ恵<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>,<CTRL:E502> 뒤    제<CTRL:E600><CTRL:E502>자십   제<CTRL:E600><CTRL:E502>운어러의 <CTRL:E600><CTRL:E502> 스은오 <CTRL:E600>
21/S2044.DAT:47DD4,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=21; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 면뒤 거 <CTRL:E600><CTRL:E502> 덕요드변거 <CTRL:E600><CTRL:E502>심여스도드 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2044.DAT:47E2C,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=22; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねコ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 느느고 거 <CTRL:E600><CTRL:E502> 뒤라드도토거 <CTRL:E600><CTRL:E502> 드 덕거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2044.DAT:47E86,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=23; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,2,2,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 느드두 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2045.DAT:46D5A,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=24; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>値ひれ究投ミ恵<CTRL:E6:00><CTRL:E5:02>場ふ究投ミ恵<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>,<CTRL:E502> 뒤    제<CTRL:E600><CTRL:E502>자십   제<CTRL:E600><CTRL:E502>운어러의 <CTRL:E600><CTRL:E502> 스은오 <CTRL:E600>
21/S2045.DAT:46DD4,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=25; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 면뒤 거 <CTRL:E600><CTRL:E502> 덕요드변거 <CTRL:E600><CTRL:E502>심여스도드 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2045.DAT:46E2C,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=26; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねコ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 느느고 거 <CTRL:E600><CTRL:E502> 뒤라드도토거 <CTRL:E600><CTRL:E502> 드 덕거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2045.DAT:46E86,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=27; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,2,2,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 느드두 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2045.DAT:4758E,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=28; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,3,3,"<CTRL:E5:03>出発する
<CTRL:E5:03>出発しない
<CTRL:E5:03>いろいろ教えて!",<CTRL:E503>출발 |<CTRL:E503>그만   |<CTRL:E503>정보       
21/S2045.DAT:47914,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=29; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,3,3,"<CTRL:E5:03>出発する
<CTRL:E5:03>出発しない
<CTRL:E5:03>いろいろ教えて!",<CTRL:E503>출발 |<CTRL:E503>그만   |<CTRL:E503>정보       
21/S2045.DAT:47C32,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=30; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,3,3,"<CTRL:E5:03>出発する
<CTRL:E5:03>出発しない
<CTRL:E5:03>いろいろ教えて! その2",<CTRL:E503>출발 |<CTRL:E503>그만   |<CTRL:E503>정보 2         
21/S2045.DAT:47CDA,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=31; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,3,3,"<CTRL:E5:03>出発する
<CTRL:E5:03>出発しない
<CTRL:E5:03>耳よりな話を聞きたい!",<CTRL:E503>출발 |<CTRL:E503>그만   |<CTRL:E503>유용한 정보     
21/S2045.DAT:47F1C,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=32; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,3,3,"<CTRL:E5:03>アイテム・アクセサリーの効果。
<CTRL:E5:03>戦闘の方向と反撃。
<CTRL:E5:03>やつっり、いいや。",<CTRL:E503>아이템 정보          |<CTRL:E503>방향과 반격|<CTRL:E503>그만       
21/S2045.DAT:4834A,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=33; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,3,3,"<CTRL:E5:03>バトルの心得 その2
<CTRL:E5:03>耳よりな話
<CTRL:E5:03>やつっり、いいや。",<CTRL:E503>전투 요령 2    |<CTRL:E503>유용한 정보|<CTRL:E503>그만       
21/S2045.DAT:483B6,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=34; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,4,4,"<CTRL:E5:03>モンスターとの相しょう
<CTRL:E5:03>経験値について
<CTRL:E5:03>成長のアトバイス
<CTRL:E5:03>やつっり、いいや。",<CTRL:E503>몬스터 상성     |<CTRL:E503>경험치     |<CTRL:E503>성장 조언  |<CTRL:E503>그만       
21/S2045.DAT:48972,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=35; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,4,4,"<CTRL:E5:03>アララトスの遺跡ダンジョン
<CTRL:E5:03>ミルマーナのその後
<CTRL:E5:03>ラマダ寺での修行
<CTRL:E5:03>やつっり、いいや。",<CTRL:E503>아라라토스 유적      |<CTRL:E503>미르마나의 이후|<CTRL:E503>라마다사 수행  |<CTRL:E503>그만       
21/S2045.DAT:48F18,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=36; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,4,4,"<CTRL:E5:03>ストーンサークル
<CTRL:E5:03>リングの位置設定
<CTRL:E5:03>召喚獣について
<CTRL:E5:03>次のページ",<CTRL:E503>스톤 서클 |<CTRL:E503>링 위치 설정  |<CTRL:E503>소환수에 대해 |<CTRL:E503>다음 페이지 
