feature_id,workstream,feature,decision,last_proven_evidence,evidence_level,source_assets,dependencies,known_risk,next_gate
TXT-003,text,"Per-original-span compiler with controls left inline",reconstruct_from_evidence,"v313-v316 static builds; v312 failure diagnosis",static,"02_scripts/build_arc1_v313_perline.py; 02_scripts/build_arc1_v314_bankb.py",TXT-001 TXT-002 E2-001,"v314-v316 have no accepted full runtime pass",clean-original dry run and one-scene natural-progression PoC
TXT-004,text,"Context-specific filler and terminator policy",inherit_guard,"FLOWFIX and D941D1BE",runtime,"02_scripts/build_arc1_johab_font_poc.py; 02_scripts/build_arc1_johab_font_16px_poc.py",TXT-001,"0x00 inside a fixed body terminates flow; 0x01 and E0 9D consume packets and have different advance behavior",policy must be explicit per storage/span type with no global default
TXT-005,text,"Speaker prefix recognition and formatting",reconstruct_from_evidence,"v315/v316 static; v197 choice speaker rows runtime lineage",mixed,"02_scripts/build_arc1_v315_speaker.py; 02_scripts/build_arc1_v192_choice_speaker_rows.py",TXT-003 REN-004,"The desired production format and line allocation are not yet frozen",compile two diagnostic policies and select from runtime screenshots
TXT-006,text,"Choice E5/E6 geometry and 12 speaker-only prompts",reconstruct_from_evidence,"v192/v197 lineage",runtime,"02_scripts/build_arc1_v192_choice_speaker_rows.py; 02_scripts/build_arc1_v197_prompt_width_off_by_one.py",TXT-001 E2-001,"Choice cursor geometry is separate from visible text rows",preserve all E5/E6 offsets and test all 12 speaker prompts
E2-001,e2,"Single external slot lookup and completion",inherit_exact,"v0.11 runtime; v312 states show live hooks and payloads",runtime,"02_scripts/build_story_e2_bank79_v14.py; 02_scripts/build_arc1_v297_e2_expand.py",MEM-001 TXT-001,"Current 16px wrapper owns the handler cave",combine after cave ownership is resolved
E2-002,e2,"Multiple chained E2 slots for one span",discard,"v312 state analysis stops at first slot",runtime_failure,"02_scripts/build_arc1_v298_johab12.py",none,"Second and later slots are not rendered",builder must reject any span over one 126-byte payload
E2-003,e2,"One E2 per original text span",reconstruct_from_evidence,"v314 static build",static,"02_scripts/build_arc1_v314_bankb.py",E2-001 TXT-003,"Capacity grows roughly threefold and runtime is pending",single-scene proof preserving every control token and original boundary
E2-004,e2,"Bank A 79-slot allocator using only pristine zero slots",inherit_exact,"v0.11 through v210; v312 live payloads",runtime,"02_scripts/build_story_e2_bank79_v14.py; 05_docs/bulk_insertion_manifest.csv",E2-001,"Some files contain original data inside the nominal bank",enumerate resolved/excluded/unknown slots per member from pristine data
E2-005,e2,"Bank B at file 0x004200 with 28 slots and IDs D1..EC",reconstruct_from_evidence,"v314 static address truth table and two-state zero check",static,"02_scripts/build_arc1_v314_bankb.py",E2-001 MEM-003,"No accepted cold-boot/full-scene runtime pass and helper cave lifetime is only sparsely sampled",minimal bank-B runtime probe before corpus use
E2-006,e2,"Candidate banks C 0x00E700/18 and D 0x04A000/16",reference_only,"160-file zero-block census",static,"05_docs/codex_notes.txt 2026-08-18",E2-005,"Zero bytes alone do not prove loader or runtime ownership",prove file/RAM address mapping and lifetime before assigning IDs
E2-007,e2,"Controls stay in the inline body; external slot stores glyph text only",inherit_guard,"v297 rules and v312/v314 diagnosis",mixed,"02_scripts/build_arc1_v314_bankb.py",TXT-001 E2-003,"E6 01 is not reliable inside auxiliary text",compiler round-trip must show byte-identical control sequence and positions
UI-001,ui,"v0.41 E9/EA virtual glyph decoder and classifier",reconstruct_from_evidence,"v0.41 accepted runtime baseline",runtime,"02_scripts/build_ui_glyph_store_v41.py",MEM-002 TXT-001,"Its 748-byte cave overlaps the current 16px coordinate table",establish a joint cave map before importing code
UI-002,ui,"v42 UI translation tables and pointer-backed string pool",inherit_data,"v0.42 static; v197 descendants retain the data",mixed,"05_docs/ui_full_v42.csv; 02_scripts/build_ui_guide_repairs_v42.py",UI-001,"v0.42 itself failed because 71 shared-pool pointers were not all migrated",rebuild from pristine with a complete pointer catalogue and readback
UI-003,ui,"v197 UI/item/skill translation coverage and accepted wording",inherit_data,"v197 runtime observations and release notes",runtime,"05_docs/release_notes_v197.md; 05_docs/ui_*_v39.csv",UI-002,"The v197 binary also contains the rejected dynamic-cache lineage",reuse tables and targeted fixes rather than using v197 as binary base
UI-004,ui,"v298-v305 clean-base UI experiments",reference_only,"all runtime pending",static,"02_scripts/build_arc1_v298_ui.py through build_arc1_v305_icon_safe.py",UI-002,"Applied counts vary widely and no build was accepted on hardware",reuse address matching and safety audits only after direct review
UI-005,ui,"v306 redraw of v197 Hangul cells",discard,"COMM-only static diagnostic",static,"02_scripts/build_arc1_v306_v197_johab.py",none,"It preserves every v197 dynamic-cache defect and is 12px",do not use as an integration base
UI-006,ui,"P6 high-page renderer lineage v73-v95",discard,"v94 accepted only after disabling the P6 path",runtime_failure,"02_scripts/build_ui_hud_e7_v73_dual_tpage_renderer.py through v95",none,"RA destruction state lifetime and page classification failures",retain failure tests only
UI-007,ui,"Resident fixed glyph strips through v119/v129",reference_only,"v119 runtime pass; v129 partially pending",mixed,"02_scripts/build_ui_hud_e7_v116_direct_stateless_renderer.py through v129",UI-003,"Expanded-EXE and VRAM-strip architecture is not the clean 16px dialogue design",reuse verified labels slot audits and canaries not the whole renderer
UI-008,ui,"Dynamic glyph cache v153-v235 and v307-v308 derivatives",discard,"world-map corruption cache pressure and lifetime failures",runtime_failure,"02_scripts/build_arc1_v159_dynamic_cache.py and descendants",none,"User explicitly rejected the dynamic cache",keep only negative regression tests and ownership lessons
UI-009,ui,"Skill-range texture and cursor canary",inherit_guard,"v193/v197 runtime lineage",runtime,"02_scripts/build_arc1_v193_restore_skill_range_levelup_dynamic.py",UI-003,"Blank-looking atlas cells can be live cursor artwork",make the complete sampled rectangle immutable unless a dedicated runtime proof exists
UI-010,ui,"Circle/square/cross/START icons and targeted item/battle repairs",reconstruct_from_evidence,"v197 user-confirmed runtime items",runtime,"02_scripts/build_arc1_v173_restore_e7_icon_stub.py through v197",UI-003 UI-009,"Fixes are spread across a long cumulative chain",extract each accepted delta with original and final byte guards
BLD-001,build,"Pristine original as the only production input",inherit_exact,"D941D1BE reproducible builds",static,"00_original/arc.zip",all workstreams,"Cumulative diagnostic ZIPs silently carry failed experiments",one orchestrating builder and exact input SHA256
BLD-002,build,"Original-size EXE ISO layout and patch-only verification",inherit_exact,"D941D1BE 506/506 LBA and 3/3 members",static,"01_work/arc1_original_layout.xml; 02_scripts/verify_iso_layout.py",BLD-001,"v104 layout is wrong for the original-size EXE",every candidate must specify --layout original
BLD-003,build,"Expected-write registry and deterministic rebuild",inherit_guard,"D941D1BE three identical builds",static,"02_scripts/build_arc1_johab_font_16px_poc.py",BLD-001,"Independent features can overwrite the same hook cave atlas plane or string range",reject overlapping ownership before mutation
MEM-001,memory,"0x8018FCD0..0x8018FDC5 245-byte cave",blocked,"16px wrapper uses 196 bytes; E2 A handlers need about 192 bytes; v314 A+B handlers use 232 bytes",runtime,"current 16px PoC and v314",REN-001 E2-001,"Two proven components cannot coexist at their present addresses",reserve this cave for E2 and relocate the 16px wrapper after lifetime audit
MEM-002,memory,"0x801A7460..0x801A7860 1024-byte cave",blocked,"16px table uses first 62 bytes; v0.41 uses 748 bytes; v42 uses 1010 bytes",runtime,"current 16px PoC and v0.41/v42",REN-002 UI-001,"Current allocations overlap from the first byte",move the 16px table before importing UI
MEM-003,memory,"0x80193B44..0x80193BC4 128-byte cave",provisional,"v314 helper 48/56 bytes; zero in two v312 states",mixed,"02_scripts/build_arc1_v314_bankb.py",E2-005,"Two states are not a lifetime proof",audit all available states and loader clear boundaries
MEM-004,memory,"0x801A2074..0x801A2304 656-byte cave candidate",provisional,"original zero; zero in two v312 states; historical injected code ran here",mixed,"v83/v100-v106 scripts and v312 state audit",REN-001 REN-002,"Prior experiments do not prove all-scene persistence and this range was reused by failed renderer work",audit every available state then use as the first wrapper+table relocation candidate
