file,offset,japanese_numbers,korean_numbers,missing,japanese,korean
1/S1061.DAT,0x47904,1,-,1,私ね / あの後、一族のおきてとされてる古文書(こもんじょ)を / よんでみたの。,쿠쿠루: 그 뒤에 우리 일족의 계율이라는 고문서를 읽어 봤어.
1/S1061.DAT,0x48000,1,-,1,今は一緒には行けないけど / かならす その力を手に入れて / あなたを追いかけるわ。,"쿠쿠루: 지금은 함께 못 가지만, 반드시 그 힘을 얻어서 널 따라갈게."
1/S1072.DAT,0x478CC,1,-,1,村長  / 神の血を引く一族しか入れない / 結界(けつかい)に守られた / シオン山の炎も,촌장: 신의 피를 이은 일족만 들어갈 수 있도록 결계가 지키던 시온산의 불꽃도...
1/S1072.DAT,0x47C24,10,-,10, /  /  /  /  /  / その夜、シオン山は /     10年ぶりのふぶきにみまわれた,"그날 밤, 시온산에는 십 년 만의 눈보라가 몰아쳤다."
21/S2014.DAT,0x47BA2,1,-,1,兵士1  / アークか？ / 王との約束を果たしたのか？,병사: 아크인가? 왕과의 약속은 다했나?
21/S2014.DAT,0x47C66,1,3,1,兵士1  / あっ、あれはダウンタウンの用心棒。,"병사: 아, 저자는 시내의 경호원일세."
21/S2014.DAT,0x47CB2,1,-,1,兵士1  / えらくうでが立つヤツらしいが・・。,병사: 굉장히 실력이 뛰어난 녀석이라는군...
22/S2046.DAT,0x48B78,3,-,3,兵士  / しかし、王のそうぎは3日前に終わりましたよ,병사: 하지만 왕의 장례는 삼 일 전에 끝났습니다만.
22/S2057.DAT,0x478F0,5,-,5,国王  / 5大精霊の石か・・。,국왕: 오대 정령의 돌이라...
31/S3022.DAT,0x47E54,1,-,1,兵士  / ヤグン様は、この国のナンバー1だ。 / さからうとひい目にあうぞ。,병사: 야군 님은 이 나라 제일이다. 거스르면 큰일을 당할 거야.
31/S3024.DAT,0x46038,1,-,1,兵士  / え、おまえロマリアも知らないの。西にあるこの世界1の大国だよ。,병사|로마리아 몰라?|서쪽 최대 강국이야.
31/S3031.DAT,0x482A2,1,-,1,ヤグン  / もしものこがあつたら一大こだぞ。 / 心してお守りするのだ。,야군: 만일의 일이 있으면 큰일이다. 잘 지켜 드려라.
32/S3063.DAT,0x47D2A,1 5,5,1,ベみの精霊  / 光の精霊は5大精霊のなかでも / 一番人聞に理解のある精霊です。,베미의 정령: 빛의 정령은 다섯 대정령 가운데서도 가장 인간을 이해하는 정령입니다.
4/S4011.DAT,0x48B98,1,-,1,一族に伝わるもので、勇者を導く力があると言われているの。,"일족에게 전해지는 것으로, 용사를 이끄는 힘이 있다고 전해져."
4/S4011.DAT,0x48FC2,1,2,1,一応、礼をいつとくぜ。,일단 감사는 해 두지.
4/S4031.DAT,0x479E6,1,-,1,アーク、なにが・・ / 一体何が・・？,"아크, 무슨 일이... 대체 무슨 일이야...?"
4/S4033.DAT,0x47F94,1,-,1,敵つていうのは、 / 一体何なんだろう？ / 確かに大きな力は感じるけど・・,적이라는 건 대체 뭘까? 분명 큰 힘은 느껴지지만...
4/S4035.DAT,0x47EEA,1,-,1,次の精霊はアリバーシャにいる。 / そこには、水の精霊を守り続ける / サリュ族という一族がいる。,다음 정령은 아리바샤에 있다. 그곳에는 물의 정령을 계속 지키는 사류족이라는 일족이 있다.
5/S5012.DAT,0x481FA,1,-,1,おまえらと一緒に / 精霊の話を聞いてるうちに / 考えが変わつてな。,너희와 함께 정령 이야기를 듣는 동안 생각이 바뀌었어.
5/S5021.DAT,0x47A04,3000,1 3,3000,ここは3000年前 / 大崩壊(だいほうかい)の後 / 人が最初に街を作り / それが大きくなりできたところ。,"여기는 3천 년 전 대붕괴 뒤에 사람이 처음으로 거리를 만들고, 그것이 크게 발전한 곳이야."
5/S5021.DAT,0x47E30,1,-,1,だから、わし一人では手に入れ / たくても手に入れられないもの / ばかりなんじゃ。,그래서 나 혼자서는 손에 넣고 싶어도 얻을 수 없는 것뿐이란 말이지.
6/S6022.DAT,0x47A14,2000,2,2000,この国に2000年聞 / うけつがれている拳法を使う集団で / ラマダ教という教えのもとで / 修行にはげむ僧達らしい。,"이 나라에 2천 년 동안 전해 내려오는 권법을 쓰는 집단으로, 라마다교라는 가르침 아래 수행에 힘쓰는 승려들인 모양이야."
6/S6051.DAT,0x47E46,1,4,1,この少年とお主で一対一の勝負をするというのはどうじゃ？,이 소년과 자네가 일대일 승부를 하는 건 어떻겠나?
6/S6053.DAT,0x47AAE,30,-,30,自分が30年聞で、失つてしまつたものを、あなたがたと旅することで取り戻せそうな気がする。,"제가 삼십 년 동안 잃어버린 것을, 여러분과 여행하며 되찾을 수 있을 것 같습니다."
6/S6053.DAT,0x47E7A,1,-,1,私はこの人達との旅の後 / 再びここに戻り / 一からやり直したいと思う。,나는 이 사람들과의 여행이 끝나면 다시 이곳으로 돌아와 처음부터 다시 시작하고 싶어.
6/S6054.DAT,0x45686,1,-,1,ラマダ僧  / 遺跡ダンジョンの一番下にいるものは？,라마다 승려: 유적 던전의 가장 아래에 있는 것은?
6/S6054.DAT,0x46A2E,11,1 10,11,ラマダ僧  / 11度目の挑戦ですね。いちおう、これで最後になります。,라마다 승려: 열한 번째 도전이시군요. 일단 이것으로 마지막입니다.
7/S7026.DAT,0x48788,1,-,1,大会委員  / 一応、これで最後ですからね。 / がんばりましょう。 / ああいそがしい、いそがしい。,"대회 위원: 일단 이걸로 마지막이니까요. 힘내십시오. 아아 바빠, 바빠."
7/S7027.DAT,0x48E52,1,-,1,骨のなさそうな野郎共だつたが / 一応ほめてやるぜ。,"기개도 없어 보이는 애송이들이었지만, 일단 칭찬해 주지."
7/S7027.DAT,0x48FE8,1,-,1,骨のなさそうな野郎共だつたが / 一応ほめてやるぜ。,"기개도 없어 보이는 애송이들이었지만, 일단 칭찬해 주지."
7/S7027.DAT,0x49168,1,-,1,骨のなさそうな野郎共だつたが / 一応ほめてやるぜ。,"기개도 없어 보이는 애송이들이었지만, 일단 칭찬해 주지."
7/S7027.DAT,0x4923C,1,-,1,骨のなさそうな野郎共だつたが / 一応ほめてやるぜ。,"기개도 없어 보이는 애송이들이었지만, 일단 칭찬해 주지."
7/S7027.DAT,0x49310,1,-,1,骨のなさそうな野郎共だつたが / 一応ほめてやるぜ。,"기개도 없어 보이는 애송이들이었지만, 일단 칭찬해 주지."
8/S8021.DAT,0x47DF2,1000,-,1000,サリュ族の男  / 1000年前に、ロマリアから来た男が / 動力石を使つて、,"사류족 남자: 천 년 전에 로마리아에서 온 남자가 동력석을 이용해,"
8/S8061.DAT,0x4802E,100,-,100,水の精霊  / どうせだつたら、 / どーんと100ぐらい退治しとくれ。,물의 정령: 할 거면 아주 백 마리쯤 퇴치해 다오.
B/SB041.DAT,0x47986,1,-,1,一体何だつてんだ!,대체 무슨 일이야!
C2/SC0B6.DAT,0x48020,1,-,1,一角獣の角を手にいれた。,일각수의 뿔을 손에 넣었다.
D/SD011.DAT,0x47A66,1,-,1,私はシオン山の封印(ふういん)を守る一族のククル。,"난 시온산의 봉인을 지키는 일족, 쿠쿠루야."
D/SD011.DAT,0x47B14,1,-,1,そうしたら急に山が荒れだして / 私、もう一度炎をともそうと思つて・・。,그러자 갑자기 산이 날뛰기 시작했어. 그래서 불을 다시 붙이려고...
D/SD011.DAT,0x47C5A,10,-,10,もし、山に化け物がいるなら、そいつは10年前、父さんを殺したやつに違いない。 / 誰が止めようと俺は行くぜ。,산에 괴물이 있다면 십 년 전 아버지를 죽인 놈일 거야. 누가 말려도 난 간다.
D/SD013.DAT,0x4789C,3000,-,3000,アークデーモン  / 我が3000年のいかりを受けて / 死ぬがいい。,아크 데몬: 삼천 년 동안 쌓인 내 분노를 받고 죽어라!
D/SD031.DAT,0x459FE,3000,3,3000,わしの名はゴーゲン。 / おまえらの望み通り / 3000年の時をこえて再び現れてやつたぞ。,내 이름은 고겐. 너희 바람대로 3천 년의 시간을 넘어 다시 나타났지.
E5/SE05A.DAT,0x48C52,1,3,1,わたしは世界一の大魔法使いチョコ。どうぞよろしく。,나는 세계 제일의 대마법사 초코. 잘 부탁해.
F/SF021.DAT,0x47E36,1,-,1,ああ / 一体このオーフと精霊にどんな / か係があるんだろう？,"아아, 대체 이 오브와 정령에게 무슨 관계가 있는 걸까?"
F/SF021.DAT,0x4813E,600,-,600,風の精霊  / いかにも。封じ込められた600年の聞、すつと人聞の殺しあいの中でやりとりされておつた。,바람의 정령: 그렇다. 봉인된 이백 년 동안 줄곧 인간들이 서로 죽이는 가운데서 오가고 있었지.
F/SF041.DAT,0x4799C,1,-,1,これは一体!？,이게 대체!?
F/SF051.DAT,0x478A0,1,-,1,討伐兵  / アークとその一味は / その後の捜索にもかかわらす / 行方がわかりません。,토벌병: 아크와 그 일당은 그 뒤 수사에도 불구하고 행방을 알 수 없습니다.
F/SF081.DAT,0x47996,1,-,1,弟分  / 兄貴、俺ここから見るパレンシアが一番好きなんすよ。,"부하: 형님, 저는 여기서 보는 팔렌시아가 제일 좋습니다."
F/SF091.DAT,0x47BB0,20,-,20,その兄は、20年前 / わが国との戦争をやめさせるために / ミルマーナへ出かけて行き,"형은 이십 년 전 전쟁을 막으려 미르마나로 떠났고,"
F/SF0B1.DAT,0x47B9E,1,-,1,聖地シオン山を代々守る一族の娘でククルともうします。,"성지 시온산을 대대로 지키는 일족의 딸, 쿠쿠루라고 합니다."
